ip,score,样本总数
上海,21.0,44.0
云南,15.0,16.0
内蒙古,6.5,13.0
北京,59.0,113.0
吉林,6.0,8.0
四川,50.0,89.0
天津,10.0,15.0
宁夏,2.0,4.0
安徽,20.0,37.0
山东,25.0,45.0
山西,3.0,8.0
广东,128.0,226.0
广西,18.0,28.0
新加坡,0.0,1.0
新疆,7.0,24.0
,11.0,12.0
日本,0.0,1.0
江苏,34.0,63.0
江西,17.0,28.0
河北,18.0,25.0
河南,13.0,25.0
浙江,32.0,60.0
海南,7.0,11.0
湖北,26.0,58.0
湖南,14.0,30.0
甘肃,5.0,8.0
福建,21.0,44.0
美国,0.0,2.0
西藏,0.0,1.0
贵州,12.0,17.0
辽宁,16.0,30.0
重庆,12.0,19.0
陕西,15.0,23.0
青海,2.0,2.0
黑龙江,3.0,8.0
,18.0,38.0
