ip,score,样本总数
上海,29.0,44.0
云南,9.0,12.0
,4.0,4.0
加拿大,1.0,1.0
北京,30.5,43.0
吉林,5.0,7.0
四川,28.0,37.0
天津,6.0,7.0
,1.0,1.0
安徽,13.0,20.0
山东,13.0,16.0
山西,4.0,7.0
广东,92.0,112.0
广西,12.0,15.0
新疆,2.0,3.0
,9.0,9.0
江苏,21.5,32.0
江西,13.0,14.0
河北,11.0,16.0
河南,14.0,19.0
浙江,18.0,34.0
,4.0,4.0
湖北,18.0,25.0
湖南,10.0,11.0
甘肃,4.0,6.0
福建,14.0,22.0
贵州,3.0,5.0
辽宁,9.0,11.0
重庆,15.0,21.0
陕西,7.0,10.0
,2.0,2.0
黑龙江,4.0,5.0
