ip,score,样本总数
上海,45.0,103.0
中国香港,0.0,1.0
云南,29.0,38.0
内蒙古,11.0,14.0
北京,77.0,130.0
吉林,14.0,19.0
四川,74.5,110.0
天津,17.0,27.0
宁夏,6.0,6.0
安徽,34.0,47.0
山东,38.0,54.0
山西,20.0,25.0
广东,186.5,282.0
广西,40.0,55.0
,1.0,1.0
新疆,5.0,10.0
,33.0,34.0
江苏,93.0,126.0
江西,17.0,21.0
河北,23.5,45.0
河南,59.0,81.0
浙江,46.0,78.0
海南,12.0,15.0
湖北,42.0,65.0
湖南,26.0,43.0
甘肃,8.0,11.0
福建,34.0,58.0
,1.0,1.0
贵州,13.0,21.0
辽宁,19.0,33.0
重庆,32.0,45.0
陕西,11.0,21.0
,3.0,3.0
黑龙江,13.0,15.0
,19.0,37.0
