ip,score,样本总数
重庆,40.0,135
江苏,178.0,503
北京,713.0,1491
山东,68.0,202
广东,393.0,1219
四川,130.0,387
上海,136.0,410
湖南,51.0,166
浙江,123.0,456
福建,45.0,164
安徽,107.0,243
山西,28.0,123
湖北,73.0,257
陕西,50.0,110
,323.0,443
河南,114.0,245
云南,19.0,52
河北,53.0,134
辽宁,31.0,112
江西,57.0,142
甘肃,8.0,28
海南,38.0,121
中国香港,1.0,5
新疆,20.0,40
吉林,16.0,54
黑龙江,19.0,58
天津,26.0,80
广西,34.0,106
内蒙古,10.0,32
贵州,15.0,42
马来西亚,1.0,1
宁夏,6.0,12
英国,1.0,3
青海,3.0,5
泰国,2.0,3
美国,1.0,2
中国台湾,1.0,2
日本,0.0,2
阿曼,0.0,1
韩国,1.0,2
越南,1.0,2
新加坡,0.0,1
