ip,score,样本总数
上海,29.0,56.0
中国澳门,0.0,1.0
中国香港,1.0,1.0
云南,6.0,8.0
内蒙古,5.0,7.0
北京,33.0,90.0
吉林,6.0,13.0
四川,26.0,41.0
塞尔维亚,1.0,1.0
天津,6.0,19.0
,1.0,1.0
安徽,15.0,18.0
山东,13.0,23.0
山西,7.0,10.0
广东,93.0,138.0
广西,16.0,23.0
新加坡,1.0,2.0
新疆,5.0,6.0
,10.0,10.0
江苏,23.0,41.0
江西,11.5,13.0
河北,11.5,16.0
河南,18.0,27.0
浙江,21.5,39.0
海南,9.0,10.0
湖北,20.0,36.0
湖南,16.0,22.0
甘肃,5.0,6.0
福建,11.0,24.0
贵州,3.0,4.0
辽宁,9.0,16.0
重庆,8.0,15.0
陕西,7.0,9.0
,2.0,2.0
黑龙江,6.0,7.0
,14.0,27.0
