comment,ip
确实是不错的片子 全员演技在线 提心吊胆的看完了 可谓星星之火可以燎原 即使力量渺小 唯愿燃尽自己 点亮黎明 红色是血液里永不褪色的赤诚 青春的底色是爱国,云南
剧情一环扣一环，突发事变让我感到很惊讶，人物表情很到位，很值得去看一看。,四川
超级好看，入股不亏，剧情很精彩，也能很好的衔接起来，几乎全场高能，青春少年的团结让人热血沸腾，那是专属于那个时代的热血青年,湖南
"烂片！！还好有上海电影消费券，不然我会为我34块9的电影票狠狠哭泣。。。。
到底是谁在说孤星计划好看呀？
被谍战和悬疑两个tag吸引进去的
结果整个剧情设计。。。。
前5分钟的内心独白就非常幼稚且不真实，但是一搜小红书全是好评，耐着性子准备看反转，结果反转了个寂寞
一民和天平冒着生命危险向章贵生复仇，结果是章贵生用枪指着天平，房间里不仅没有埋伏，甚至连个帮手都没有。。。。唯有钢笔割喉算是💩上雕花
一民拖延总指挥的不打电话给芜湖把船拉回来的方法就是在码头上穿越重重障碍精准地从房子外面撞死总指挥。。。整个上海除了那个总指挥没有任何一个坏人会打电话了吗？到底是谁在说孤星计划好看呀？到底是谁给孤星计划打了9.4？有这两个小时，我不如看两篇文献",广东
超级好看！全程高能无尿点！强推！,江苏
真的真的好看，赶紧去电影院看吧,湖北
"啊啊啊啊啊真的超好看！令人惊喜。演员演技在线，剧情充满反转，全程高能，伏笔也埋的巧到好处！音乐真的氛围拉满，开头鼻子酸酸的怎么回事呜呜呜
真的让人很沉浸（说的是我自己哈），很有代入感啊！！题材，影片成果，完完全全的戳中了我喜欢的点，可爱看带有悬疑色彩的影片了。
而且这就是群像的魅力呀，每个人都有着鲜明的特点，很亮眼，很立体。默契呀默契
一颗颗星星，汇集，分散，慢慢再次汇聚，最终真的带来一整片璀璨的星空！！
（诶嘿，这么多年的推理不是白看的，真的猜对了）",广东
孤星计划超级超级无敌好看‼️演员们的演技都超好！！请多多支持李一民的饰演者王源呀😍,广西
人心难测，看得我心疼,河南
超好看！反转反转再反转，热血的群像影片，大家一定不要放过的这《孤星计划》呀！,河南
很好看！剧情不拖沓，很刺激。非常值得去看,上海
"🌟 推荐
五颗星
悬疑紧张刺激，王源演技不错，希望多演演电影",河南
王源的演技有很大的提升，剧情反转又反转，非常精彩。电影内容很有意义，希望大家要铭记历史，不要忘记前辈们。希望大家能用心看，用心记住，祝孤星计划票房大卖,云南
真的挺好看的，太真实了,福建
好 反转再反转,广东
特别好看，非常推荐！！！,广东
每个人的演技都非常的不错，特别热血特别好看，从这部电影看到以前先辈们的努力，为了中国，每位先辈都特别的不容易，演员的情感表达也很到位,广东
真的很不错的一部电影，作为王源的粉丝感觉看到了一个不一样的王源，抛开粉丝滤镜我会觉得源源把李一民演活了，感觉电影里每一个人都是主角这部电影真的值得所有人去观看，看得我热血沸腾！真的强烈推荐！,湖南
非常不错的电影好看真的不错,山东
超级好看，踏进电影无数次，为源还是第一次，值得,湖北
很好看，反转反转悬疑烧脑，,无法获取
"李一民好样的！剧情反转再反转真的一秒都不想错过
😊 演技
真的震惊到王源演技这么好，期待以后会出更多影视作品！
🌟 推荐
非常推荐，非常推荐，剧情、线索、感情、还有大家齐心协力的默契，大家都不怕牺牲，在各自的领域，都想尽自己的力量去战胜困难！还想二刷！",上海
一民同志嘎嘎牛，不同时代的青春赶路人，别忘了自己的勇敢☀️,辽宁
超级好看！！！！好多反转，高能得我都不敢去上厕所了，就怕错过每一个细节。超级推荐去看！,无法获取
看到后面反转很多，层层递进，前面的热血挥洒出来，青春不会失败，逆蝶终将飞舞,江苏
群像的力量很强 不要因为是王源主演就说烂 你去看过后就明白了！,山东
这是一部非常精彩的谍战片，结局很震撼,湖南
非常好看，值得推荐,四川
还不错，爱国情怀主题,湖北
演技在线 就是没看懂😂😂😂,甘肃
剧情很棒，节奏很好，演员演技也很好，整部影片让人看完热血沸腾，王源演技也有很大的突破，我们每个人汇聚到一起就是满天繁星！整部影片，人物形象塑造完整立体，只有看到最后才能“恍然大悟”，能看到这样的电影让我感觉很好，有一种眼前一亮的感觉，会推荐给更多人去看👀,浙江
超级好看 大家都表演的很好！！！！,河南
真的超级好看！！！,广东
真的是好看极了！,四川
好看的，推荐哦,上海
"群像就是死的死，死的死，死的死…😭
好看，非常推荐去看一看，",天津
"路人，这个电影真得不错👍，值得推荐
😊 演技好",河南
剧情反转很多，跌宕起伏，演员呈现的很好，让我们更好的明白那个时候的青年的奋斗努力，所有人都在努力，都在顽强抵抗。喜欢历史热血的十分推荐,江西
反转很多，很感人,四川
"如果能给负分我真的想给你们这帮刷好评的 负的人生 
王源的粉丝们 你们这样刷 只会让王源这个人越来越招人**",四川
超级好看反转反转再反转真的超好看😘😘😘,福建
非常喜欢是一个很不一样的感觉,山东
🌟 推荐！！好看,新疆维吾尔
"太棒了！！！这个反转很绝！演员也好棒！！为王源看的这部电影，真的很喜欢！致敬先烈！！
🌟 推荐",江西
