comment,ip
真实历史改编的  很好看！源的演技也好有进步！加油！,江苏
反转又反转 ，整部看下来超级爽,云南
被朋友种草来的，今天第一次来，果然跟朋友描述的一样，非常赞！,河北
剧情好看 画质超好 演员演技超好 我超爱,四川
"《孤星计划》真的值得一看！！！剧情紧凑 全员黑白切 观影过程中既紧张又热血 反转反转再反转 碟中碟中谍 真的全程高能！“星星之火，可以燎原。”100年前的先辈们真的很伟大 抵御重重困难和险阻 为祖国为人民而奋勇前行 舍身忘死！
各位演员的演技也都在线不拉胯 每个人对于角色的完成度都很高 真的包好看的！天上的一颗颗孤星照亮后辈们继续前行  看完电影意犹未尽 青春 热血 勇敢坚毅 奋不顾身 ……
 ",河南
很好看，看到后面很感动,湖南
"4星给我沙沙～
🌟 推荐",湖北
全程剧情紧凑不拖拉，看得人热血沸腾，,广东
"很新的一种主题，也看到了主演们的演技成长，尤其是李一民在看到梦华掉下来时，那场哭戏让人为之动容，当时就是直接就泪涌出眼眶，剧情也是反转在反，就是好像在意料之中，但又在意料之外，想要表达的情感和内心戏都比较好，很喜欢看，等有时间了还会在刷一遍的
🌟 推荐",河南
还不错演技在线就是感觉剧本有点太短了不够看,陕西
出乎意料的结局 难以预测的反转 好看！,河北
剧情真的很好！反转反转再反转！很有让人看下去的欲望！王源演技也不错！,浙江
挺热血的 推荐,北京
"
好看的不要不要的",四川
不推荐，很一般,山东
特别棒的一部影片！！！从中我们能看到一直在反转！！！永远不知道下一秒会发生什么！以为大家都会活下来 没想到一个接着一个牺牲 果真就是在历史的长河上 是没有主角光环的😭,湖北
推荐观看，剧情跌宕起伏，反转不断，演员眼神戏很好,四川
很精彩 演员们表现也挺好的 很喜欢,天津
剧情不拖沓反转又反转不枯燥很好吃，源源的演技也非常好，很棒,江西
剧情很好，演技都非常棒 好看,安徽
不值得一看，慎重,江苏
一般吧，比想象的有点落差，但是也还可以,山东
超级喜欢李一民,安徽
好看！色调调的不错！,江苏
还可以，，，，,海南
好看 反正我觉得那个反转挺好的，有点意想不到,湖南
总体来说还是不错的,广东
很好看 推荐大家一起去看看,广东
青葱岁月，爱国❤️热情！谍战悬疑，扣人心弦！撤离行动，卧底潜行！大义当前，挺身而出！大学情谊，深藏于心！反转反转，钢笔✒️反杀！守护明天，一缕朝阳～,上海
