comment,ip
太棒了！！！,广东
剧情很好，演员很棒,河北
现在光明靓丽的生活，是一百年前的他们在负重前行，真的很好看，看到一半就和小伙伴在猜谁是好的谁是坏的了，哈哈哈哈。全程剧情在线，演员演技不**，很有代入感，我看的时候都哭了，现在一想起那些画面眼眶还会热热的，非常值得二刷！！,浙江
超级好看！！,上海
剧情挺好的，我以为会是烂片呢，哈哈哈哈,湖北
很有意义的一部片子，是少年们的有勇有谋，是为了同一个目标共同努力的热血氛围，演员们的演技都是可圈可点，不论近镜头的表现张力还是远景的构图都非常好！！！,贵州
好看！剧情反转,广西
画面好看，演技有待进步,四川
真的反转反转再反转 非常推荐看这个,海南
真的非常非常好看！！抛开粉丝滤镜，真的是一部很好看的电影，反转反转反转在反转，真的很好看！强烈推荐！！,湖南
巨好看 啊啊啊！李一民你很棒 你们都很棒 我们下次见,江苏
因为我一直都喜欢群像剧，所以从很早就期待这个影片，今天特意买票走进影院观看，果然不负所望，现在如今的电影市场都是怎么吸引观众眼球怎么来演绎，很少有这么真实的影片出现了。这部影片节奏紧密不拖沓，反转反转又反转是真的让我震惊到了，揭露了当时年代的黑暗，也拍出来了百年前青年勇敢和无畏的精神。原本以为是大团圆完美的结局，没有想到最后竟然全员be… 但是转念一想，身处这样的恐怖年代中，活着的是万幸，死亡才是常态。影片的最后背景音乐响起，我走出影院心情久久不能平静。推荐大家走进影院观看这部电影，真的很好看👍，力荐。,无法获取
剧情紧凑  反转再反转  没有主角光环  很喜欢这种群像   超级好看！！,河南
超级无敌好看！！超多意想不到的反转,广东
非常好的一部电影 非常有意义 几次都和朋友潸然泪下 推荐大家来看,上海
特别棒的一部电影，不论是选角上还是剧情各种反转，很新颖的小巧思，群像的力量总让人动容！,福建
王源巅峰之作,广东
好看，爱看，强烈推荐,广东
青春热血，甚至比期待高很多，看到最后热泪盈眶了！,无法获取
真的非常值得观看，铭记历史，争做新时代中国有为青年！！！,云南
王源演技超炸裂，看的我热血沸腾的，故事情节一环扣着一环，真假卧底反转的太🐮了,辽宁
太炸裂了！很好看，剧情反转！太过瘾了💖,江苏
真的很好看，被我拖着去看的朋友哭得不行,重庆
"🌟 推荐
我们不可以选择自己的过去，但可以决定自己的未来⭐
📚 剧本
反转再反转",上海
"😊 演技
王源演技真的出乎我的意料",广东
很好的群像剧 战争中没有主角光环,上海
好 非常的好看,宁夏
