comment,ip
演技很好，拍的很好！,江西
非常好看，反转不停，演员的演技在线,山东
星星之火可以燎原，无畏有为的年轻人将黑色的天空撕开了一道口子，射进了光。孤星终会迎来黎明，百年前青年学生的火种，也一定随着时代的洪流给今天的我们带来新的力量!,福建
这什么电影，剧情差劲的很,海南
好好看 主角都没有光环 每个人都是最棒的,广东
还行，能看。,江苏
超级好看的一部电影，很惊喜,河北
王源的演技跟进步很多，未来可期。电影反转很多,陕西
王源把一民的少年感演的很好！,海南
**剧情。非常**,北京
星星之火可以燎原，无畏有为的年轻人将黑色的天空撕开了一道口子，射进了光。孤星终会迎来黎明，百年前青年学生的火种，也一定随着时代的洪流给今天的我们带来新的力量!,无法获取
剧情反转再反转，场景超燃炸裂，青春群像和阴狠反派的超级对决，展现出上世纪30年代中国青年的风采，不畏强敌，敢于牺牲的英勇形象女性觉醒力量足够坚韧，每个人都能做出不平凡的选择。，超级好看，强烈推荐，展现出那个时代读书人的风采，为中华之崛起而读书。,河南
不好看，演的是个啥啊，全程无聊,陕西
真的很好看，反转来的措不及防,河南
电影有金句但是不说教，内核和主题完全能撑得起来这些话，看完特别感慨感动。,浙江
"剧情紧凑高能，反转不停。

星星之火可以燎原，无畏有为的年轻人将黑色的天空撕开了一道口子，射进了光。孤星终会迎来黎明，百年前青年学生的火种，也一定随着时代的洪流给今天的我们带来新的力量",北京
一点都不好看，感觉就像小孩子办家家酒一样，莫名其妙,黑龙江
好看极了！！！演技比想象中惊艳！主角配角都演技在线！很好看！反转也出人意料！跟着一起揪心！！！最后的群像也很nice！智商在线！！！！都去看！都去看！不会让人失望哒！！！,浙江
点赞👍王源👍,广东
非常好看，在当时的时代没有谁是主角,浙江
真的很好看啊！,江苏
这部剧我觉得整体来说非常不错，节奏紧凑，反转很多，非常推荐大家去看，青春热血群像剧，为了中国而奋斗，特别好！,广西
希望大家能放下王源这个名字去看这部电影，真的很好看，有很多反转,浙江
《孤星计划》剧情紧凑，不拖沓，很好看，大家都去看呀！源儿很棒！,广东
感觉被大结局前一直导演耍了,辽宁
特别特别好超级,河南
过程很棒 每一步都让人意想不到,浙江
"🌟 推荐
群像真的拍的意料之外的棒棒棒，群像一出来感觉整个片都被提升了层次
😊 演技
王源的演技是没有料想到的，之前印象里都是青春少年偶像，现在颠覆了想象，完全没有让人脱戏，妥妥的热血青年，打戏也意外的有看头",四川
如果说《孤星计划》中李一民这个人物的思想是阶梯式成长的话，那演员王源的演技就是一步一步的向上登顶，祝贺这位大银幕演员，他的成长真的是有目共睹，加油！,上海
"🌟 推荐
超级好看的历史谍战片
😊 演技
源的演技真的质一般的飞跃啊😭超级好看非粉都会喜爱的程度🤩推荐推荐推荐
🌅 画面
唯美好看
😭 哭点
那个时代的爱情根本无法诉说呜呜呜其实根本就是一笔带过的爱恋😭",江苏
挺好不错的青春悬疑电影,云南
反转一次一次又一次，超级好看！,河南
大家都去看 是****要一起吃 味太正了,四川
王源演技太棒了剧情反转再反转非常精彩！,无法获取
很好看的电影，里面的演员演技都很不错，王源棒棒的👍🏻👍🏻,江苏
剧情转折非常多，整部影片连贯，看到我热血沸腾，他究竟是好是坏一起到影院观看等待答案揭晓吧~,福建
