comment,ip
展现了百年前热血勇敢的青年底色，再小的人物也有自己的追求，也可能会带来重大改变。一民说“患难与共，生死相扶”，同学给了他温暖，所以同学是他的家人，他愿意接替侯老师的任务，和同学一起追寻心中的理想，哪怕付出生命。影片最后，他毅然冲向危险，回忆一帧帧闪过，搭配响起来的主题曲“我们终究 都会离开这个世界 渺小又如此可怜 敌不过世事变迁 既然无法改变 何不一往无前”，令人鸡皮疙瘩都起来了，主题曲唱的又何尝不是一民这一生的写照呢🥺,江西
"超级好看，值得去看
😊 演技",河北
"非常好
很喜欢一民",广东
剧情扑朔迷离反转很多 里面的大多都是年轻的主演 讲述了一群学生为了秘密任务勇往直前 在其中也穿插了 真实的历史故事 致敬伟大的历史人物 我一个不太喜欢文科的 看了这个电影之后对历史更加的加深了认识 里面各位的演技 也不错 可以代入其中 感同身受,广东
很好看  不停的反转  看哭了,宁夏
很好看，王源演技炸裂，真的很厉害,广东
特别好看推荐推荐,河南
无限反转 好看,江西
非常好看！推荐！准备再刷了,广东
怪我没看懂😅,浙江
热血青春的群像谍战电影！好看,重庆
新中国来之不易,重庆
非常震撼和感动的电影，从开头到结尾都透露着白色恐怖的氛围，致敬勇敢的人！,江西
抛去粉丝滤镜这个影片真的很不错，很适合年轻人去看，全程哭了三次，希望更好吧,辽宁
反转不错，喜欢,河南
好看好看！推荐,甘肃
非常精彩的一部影片，反转反转在反转,江苏
一般，没有特别之处。几个人物一出来，也就猜到结局了,河北
整个电影团队和演员们都非常非常棒！情节紧张刺激环环相扣不断反转！根本不舍得去上厕所的那种！！！！真的超级好看！,内蒙古
好看，建议去看,江西
剧情一直在反转，猜不到结局，超级棒，超级带感。,北京
是一部超出预期的片子 刚开始看到主演的时候我还以为是什么青春偶像烂片 还好走进了影院 也让我对王源有了改观,四川
王源演技和鹿晗哪个好？,辽宁
很精彩 超出期待了👍🏻👍🏻反转很多 剧情紧张刺激👍🏻👍🏻,福建
好看的很，很喜欢！,湖南
还行吧就是枪声有点吓人,山东
凑合看。。。,上海
看不懂不是很好看,河南
太好看啦！ 剧情紧凑，反转反转再反转，真的值得二刷！,浙江
很好看 但感觉这部电影没怎么宣发呀,浙江
还不错  。,广东
特别好看，极力推荐，无线反转,河南
好看！值得一看,山西
不知道想表达的是什么，冲着9.4分去看的，还是个悬疑电影，这一点都不悬疑啊！不忍心给最差，1个半星⭐吧,辽宁
看的真别扭 纯靠题材,甘肃
这种电影还是少上映,浙江
电影里的每个人都是不平凡的，有自己的原则和坚持，在战争年代每个人都是值得后世的我们骄傲。致敬🫡英雄，祝祖国繁荣昌盛，国泰民安。源源的演技真的进步很大，里面的每个人的演技都不错,广东
你以为的好人不是好人，你以为的坏人不是坏人，全员碟中谍,陕西
去见李一民了，感觉那么渺小的一个人在那个动荡的时代真的好勇敢，最近可能临近毕业，我有点焦虑，见到一民后，我真的觉得自己好幸运了，真的很感谢一民。,天津
"对王源一直不是很感冒～不过整体剧情还是很不错的～
高能反转！",上海
非常好看，演员很惊喜,湖南
剧情全是漏洞，完全是为了强行反转去拍。都调整计划提前把人送走了，第二天你知道叛徒，就坐在那摆摆pose。枪你带不上你可以解释安检，刀呢。护送任务不应该优先护送吗？主角第二天为了叛徒去晃，怎么刻意暴露啊，完全不知所谓。割爱国的韭菜请也好好合理下剧情吧。,广西
源源的演技越来越好了,河北
吸引我的点是不同于以往谍战片多以成熟特工为主角，这部片子聚焦于一群普通少年在历史洪流中的不同选择，在上世纪二十年代的白色恐怖时期，少年们在国家与民族面临危机时，胸怀热血与担当毅然投身于危险的任务中让人动容，我想这也是这部剧里徐导启用一批年轻演员作为主演的原因。其中最让我惊喜的是王源，印象中他还是那个组合的小男孩，没想到眼神动作真的很有戏，很抓人。,贵州
太好了😄😄太好了可以的呀,江西
好看的，很出乎我的意料了，我本来没看好王源的，结果他这次演的还可以,四川
"😊 演技
很好 反转反转再反转",山西
可以，值得一看,湖南
没法说，真没法说,重庆
王源老师演技进步很大，最后爆炸牺牲那里真的给人一种生如夏花灿烂，死如秋叶之静美的感觉，侯老师的壮烈牺牲给钢笔那一段也很震撼，在大雨天，在小巷里，脏乱的街道上，都有可能成为他们隐蔽的场所，传递重要情报。缅怀历史，铭记英雄，青年强则国强，祝祖国繁荣昌盛,广东
"🌟 推荐绝对好看
😊 演技非常nice
极力推荐，一部非常好的著作。包好看的，层层反转，环环相扣，牵动影迷内心情绪。",山西
"好想看好想看，看了预告真的很热血!
反转反转在反转，剧情紧凑，伴随着音乐，仿佛身临其境，和一民一起完成孤星计划。电影质感超好，每一帧都可以作为壁纸。各个参演人员演技十分可以!源哥的演技越来越好了，能够把我们置身其境，感受一民的生活和带入动荡的年代。电影让我们再一次感受到了我们现在美好生活的来之不易。让我们更加敬佩那一代的勇气和坚韧。",上海
"挺好。
🌟 推荐",无法获取
电影中的情节设置的很棒到最后才知道人是好的插入的场景没有任何不适感很厉害一民最后的死亡是本片中最大的遗憾也是最大的闪光点,天津
"《孤星计划》一群热血又鲜活的中国青年，在那个近代中国存亡之际的背景下，一群有共同志向的青年们成立的孤星社。他们作为中国🇨🇳青年，作为谍战人员，作为一名战士完成艰难的谍战任务！！
回到电影，剧情反转反转在反转🧐🧐
绝对符合谍战片的质量。最让我意外的演员力量，本以为演员会让这部电影扑街。但是但是，真的超级意外，我从每个演员看出了作为青年的那种力量，那种信念，很棒了已经（虽然还有进步的空间）
孤星绝对不是一个人的力量，在孤星社，每一名成员，都在为一个共同的理想做奋斗！！
最喜欢里面的一句话：“虽然天上的孤星散发一点点微光，但是能给黑夜中的人带来希望。”
这也许就是孤星社存在的意义。如果没有这一代救国人士的出现，我想绝对没有咱们现在的和平繁荣景象",北京
很好看的一部电影,北京
真的超级好看,海南
挺激动的，我们都在猜最后坏人是谁,云南
可以说结尾有点没想到，演技都一般，每个人彼此之间接不住戏，有些戏好不容易接上但立刻又掉了，主题还挺好的，影片整体有点轻松了，压迫感和紧张感不是特别大，剧本的延展性拓宽性不高,无法获取
很好看 看到舍不得起身离开,湖南
特别好看 反转反转再反转,广东
还不错，有反转。,江苏
超级好看！！！！,河北
剧情好看  不停的反转再反转,云南
超级好看的！,广东
比较一般，中途看的差点睡着,湖南
还算可以，70分,山东
超级好看 王源演技一绝,上海
演员演技真的**，跟战争片一点不搭，整些小鲜肉看着嘻嘻哈哈的，不如去拍爱情片,广东
特别热血 非常好看！对中国新青年有很好的教育意义 家国面前 一切都是小事！非常值得 反正热血我就爱看！！！,山西
"特别棒
😊 演技",湖南
我们都应该不忘初心,辽宁
王源、张雪迎、梁靖康等青年演员成功塑造了角色性格特点，细腻的情感表达让观众深入理解角色内心世界。如王源饰演的李一民，将其热血理想与面对背叛的失落演绎得十分到位.李晨、印小天、韩童生等实力派老戏骨的表演，为影片增添了历史厚重感和深度，提升了影片的整体品质.,青海
一般吧！王源有点出戏 太现代感了,江苏
很好，演的很好，反转很多，推荐,山西
非常棒，剧情很好都看哭了,广东
感觉没有网上宣传的那么好,黑龙江
"🌟 推荐
电影很值得看，虽说刚开场前半小时整个剧情很平，让人有点看不进去，但是后面随着剧情的递进和反转，还是让人沉入到进去了，尤其是最后把重要任务送上船的环节，感觉我就是其中的一员，那种紧张害怕和一往无前的勇气一下就涌上来了，头脑发热，最后一民开车撞上去那个眼神，我眼泪一下就出来了",广东
剧情连贯 演的很有代入感,重庆
挺好看的 女主很美,无法获取
王源是真出戏，群演都比他演的好,河南
超级好看，支持源哥的电影，反转反转一直在反转，让人猜不到结局，最后回忆的时候，眼泪止不住的流，感动，安利大家看。,山西
最热血的青春悬疑谍战片  全程高能反转 太精彩了 好久没看过这么刺激的电影了 孤星计划大爆！！！！,上海
个人感觉并没有影评介绍般紧凑和反转，反派太强以至于主角光环不够耀眼。而主角为整个主线故事所做的牺牲与奉献不够突出。孤星计划主人公心里刻画浮于表象，而最后奋不顾身的太过浮夸。能看 印象不深 反倒是几名反派戏骨表演相当可以圈点。,辽宁
你们想过天上的孤星吗，他们只会发出一点点微小的光芒，而在黑夜中这一点点微光，就可以给人们带来希望，电影好看，剧情不拖拉，演员演技在线。,广东
想说真的很值得看，题材也算是新颖吧，讲的是那个年代年轻人的力量，所以主角是年轻人，也有老戏骨的加持，后面的反转真的很爽，每个人的牺牲都意想不到，更贴近历史了，还有钢笔🖋也贯穿了整个电影🎬,上海
特别棒！！！,四川
还行，情节一般,江西
让我们来猜猜是谁卧底,上海
每个人都没有主角光环，历史也是。,上海
好的，没问题,无法获取
哇哇哇剧情真的！！太好看了！！！救命！真是惊险刺激啊我的天！！都去看啊啊啊 好看的我说不来话了,上海
实在是太好看啦 真的很感动 而且还是真实改编,广西
非常优秀的一部影片，值得推荐观看,上海
孤星计划特别好看，演员厉害，强烈推荐，已经二刷,上海
真的很好看啊！！！！都给我去看孤星计划！！！孤星计划 大爆特爆！！,广东
孤星计划 第一次看到这种类型电影 真是非常不错 希望以后电影都像这部电影一样 让人眼前一亮 不要太老套了,山东
看的意犹未尽，对流量明星有了新看法，王源演技不错，最后确实没猜到谁是最坏的，支持这部影片,重庆
真的非常好看 ,广东
天上孤星发出的光芒是微弱的，但也能照亮一方；地上的孤星社成员势单力薄，但他们能相互扶助，也能力敌千钧。人无法选择自己的过去，但可以选择自己的未来。生如夏花之绚烂，死如秋叶之静美。影片讲述的就是一群年轻的大学生在五卅惨案后救国救民的故事。青春谍战片走上大银幕，令人耳目一新。,江苏
看过真的很好看啊，演技都很好，虽然王源不是非科班，但是他演的非常好，出乎我的意料，感人！,广东
一般般能看不算太差相比749,天津
很好看，也很精彩,江苏
这个评分怎么出来的，8.4我都嫌多,广东
特别好看！！,浙江
"总体来说还是非常好看的一部电影。值得去二刷
 每个人物都是非常棒的",福建
睡着了，烂。？？,广东
"李一民或许不懂大道理，但他的眼神里，只有永远阳光灿烂的善良和随时舍身取义的勇敢，没有一丝狡猾、没有一丝恶意，没有一丝自私自利。
哪怕是偷袭敌人时，他绞尽脑汁，也只能从心底刮出几分“愤怒焚尽理性后的几分机智""，绝无那种为了苟且偷生而逃命的怯懦。他活下去，是为了拯救更多、更重要的人。而一旦到了“侠之大者，为国为民”的存亡时刻，李一民的大善甚至是下意识的--就像房子的主人一定要把小偷赶出去那样理所当然，李一民作为当家做主的人民，下意识地选择了牺牲自己，拯救国家。
他活下去，是为了拯救更多、更重要的人。",上海
什么 基 波 东西 一堆 翔,广东
睡了一觉！！,福建
