comment,ip
剧情真的很好。 演员们的演的很真实。看了好感动。眼睛差点尿尿了。   源哥又 突破了一部电影。期待更多的电影。 期待王源和此沙更多的作品,江西
"🌟 推荐
剧情反转再反转让人意想不到特别好看
😊 演技
每个人演技都很好不会出戏
😭 哭点
特别多",浙江
值得去看！！,北京
平平无奇但是无言以对,山东
…真的真的不好看,福建
因为特惠票去看的，本身期待值不高，但是真的值回票价，电影节奏把控的很好，前面二十分钟我感觉都挺水因为买的中午的票看的想睡觉，但是后面变得很精彩刺激，而且因为本身就是打发时间才看的，有很多忽略的细节，后面去找了讲解，真的细节满满，推荐,无法获取
喜欢此沙饰演的江岳，就像韩寒老师说的不好演，需要有人物的厚度，此沙惊艳完成了！,上海
台词幼稚又尴尬，逻辑不清，剧情没深度，反转全靠遮遮掩掩。全程怼着王的脸拍特写，尬死了…,河北
"看完了电影，我感觉久久走不出来，泪失禁体质表示走在路上都要流眼泪，被影片感动是一部分，更多的是我为小源感到骄傲！我觉得他真的很棒！他真的很会演戏！他的演技丢在演艺圈也是上游的，如果你不信那就去看看孤星计划，看我说的是不是真的咯😎

我真很想推荐这部电影，我知道去年夏天小源拍这部电影很幸苦，特别热特别闷，毕竟是谍战片，受伤是免不了的，拍戏连拍十几个小时是免不了的，我知道一部电影需要很多人的幸苦付出。这还是小源主演的第一部电影，第一次要扛起票房这个艰巨的任务，孤星计划实在是穷，宣传大部分都是靠的王源粉丝，这么好的电影，我很想让所有知道的不知道的都了解到«孤星计划»，我永远100%相信王源，相信他选的剧本，相信他做的决定。王源不会让你失望！«孤星计划»也不会！

如果你都看到这里啦，你会愿意去看«孤星计划»吗？等它上线视频软件之后你会点进去看吗？要是问我的话，我还想再去电影院看一遍…",四川
剧情紧凑，扑朔迷离，反转再反转。小源的演技真的意料之外（比预期还精彩），各位主演的演技都精湛。孤星计划值得,江苏
我其实是又带着粉丝滤镜来看的。一切都挺好的，只是我觉得有很多剧情都没有处理的很好，尤其是看过官方的宣传视频，感觉有很多细节电影都没有很好的体现出来。但情节确实挺有看点挺刺激的，挺不错的。,江西
王源的演技值得你去观看这部电影！,山西
太好看了宝宝们快去看,江苏
演员阵容很棒 剧情也很喜欢 是今年比较喜欢的一部电影啦  也期待演员王源的下一部作品！,海南
"电影里每个人物刻画的都很细腻，演员的力度拿捏的很舒服，演员能让观众把自己代入到那个时代，我认为这是演戏最成功的地方了。
李一民最后的牺牲，眼睛里没有对死亡的恐惧。更多的是肯定，是对自己的，亦是对大家的。从自卑的小工人变成了孤星社不可缺少的一员，再到最后的牺
牲。他也不过才二十几岁。
谁懂最后响起的音乐，鸡皮旮瘩起来的同时眼泪也跟着哗哗掉画很喜欢里面的一句歌词“但别丢了，你的勇敢”送给每一位努力拼搏勇敢追梦的人",上海
好看又好吃，老板人也超好，还送了小礼物。,新疆
真好看呢 手机剩下10的⚡️,陕西
很热血，也有很多反转，推荐！,江苏
剧情不拖沓 情节环环紧扣 演员演技在线 很有代入感 是紧张热血的青春谍战片 我的爱国情怀又一次被点燃了,云南
唉，我觉得确实一般般吧，剧情有点乱，不知所云。,上海
好看！剧情节奏可以，一点也不会无聊，感觉王源这部演技很可以诶,云南
超级好看 尤其是最后李一民的那一幕 还以为主角不会死呢 然后就是在监狱那个眼神 还怪有实力的 演的不错 又震惊又疑惑的  还有就是这个片子反转反转加反转 看到最后天平是好的 主角团die了一个又一个（因为看了很多主角都是不会死的剧）已经推荐朋友去看了 也会二刷！,无法获取
超级好看啊，陪朋友看的，一开始完全没想到会有反转之类的，本来期待值不是很高的，但是超出意料的感觉，剧情，演员，画面都很好，非常值得。,山东
这电影看完了后，当时只是感觉还行，但没得怎么样精彩好看，,四川
狐星计划好看王源声张雪莹音声音好看电影好可以,陕西
