comment,ip
特别好看，特别感动，作为新时代青年，我们要向先辈一样味人为新中国奋斗,江苏
非常后悔，花钱看这么个电影。,陕西
"真心推荐,超级无敌大反转",福建
非常的棒很好,江西
真的好爱群像 有机会还要去二刷 王源超棒！！！,湖北
🌟 推荐指数五颗星,宁夏
很棒的一部谍战片 完美展现了一百年前的青年力量,上海
电影《孤星计划》讲的是一群大学生护送‘胡先生’出上海的故事，然后这个计划代号‘孤星’。并且这段历史从来没有被翻拍过，这是第一次，很有意义，可以带小朋友，家人去看。,江西
超级好看的,无法获取
非常好看，建议都去看看,海南
真的有被惊喜到！！太好看了，剧情真的太紧扣了，看着整个人都跟着一起紧张了 二刷二刷,广西
好看好看 剧情很刺激,广东
现在生活这么好，都是先辈打下来的江山,无法获取
前剧情大反转，真的很绝，两个小时目不转睛，演员的演技炸裂，值得推荐，好久没看到这样的电视剧了，特别是后面王源护送牺牲那个镜头真的久久不能忘记，已经二刷,上海
不怎么样 演的有点假,江西
好难看，被以为热血，没要到恋爱剧,河南
超级棒没想到这么好看,河南
感觉比想象的好看些,辽宁
特别好看反转很多,上海
电影很好看，情节紧凑不拖沓，剧情反转反转再反转😲，太出乎意料了，强推🤙,上海
值得推荐的电影,河北
"剧情很好看 扑簌迷离 反转反转再反转太过瘾了 很喜欢 群像的魅力大家一起坚定地为护送胡先生而努力甚至付出生命 太感人了！
🌟 推荐",上海
"😊 演技
特别好
反转很多，不到最后不知道谁是坏人",上海
"剧情热血,值得观看",重庆
好看 剧情反转再反转 紧扣人心 很多画面拍得特别美 王源演的特别好 未来可期！,上海
剧情真的很好，演员演技也很在线，整个剧情反转反转再反转，大家千万不要错过啊，王源真的很不错，很棒，加油,上海
孤星计划真的特别特别好看 我不是托啊🥹🥹身边看过的人都说好看不是王源粉丝[流泪] “患难共生 生死相扶”  我就是带了滤镜觉得更好看了 你们去看吧 低开高走的剧情,河北
喜欢！！就是此沙镜头太少了,吉林
特别爱看群像剧！这种为了一个目标共同努力的感觉太棒了,上海
剧情非常联动 一点不拖泥带水  青春就是该如此热血 很喜欢  值得观看,上海
反转真的很多，看着谁都像卧底，不看到剧情紧凑，不看到最后一秒确实拿不准谁好谁坏，每位演员演技看着都不出戏，能让人身临其境感受到当时的形势严峻，白色恐怖下的阴暗，为取得胜利完成任务的不易，能感受到各位成员完成任务护航撤离的决心，每次任务都当成最后一次去做，不放过一丝一毫可能被发现的纰漏，看的人跟着紧张，又很感动,上海
超级超级好看！！爱群像，最后一幕非常高光，点睛之笔,上海
没想到革命先辈们用热血换来的如今的中国,山西
真的太牛了，剧情连贯，反转合理，反派带脑子，超级推荐大家看！,北京
真的太棒啦！不管是剧情还是各位演员的演技，都是非常不错的！真心推荐！,上海
非常好 看的很紧张,上海
特别特别好看，特别热血，然后反转也很多,广东
一部非常棒的电影🎞️,湖南
"🌟 推荐
好看爱看",上海
剧情很好，非常连贯，是以往的电影没给过我的感觉，演员演技都在线，好看,辽宁
太烂了， 情节，演技，剧情都非常差,广东
无敌好看 源源演技太棒啦,江西
"做李一民的孤星,点亮希望的指明灯",陕西
王源钢哥要演技有演技要颜值有颜值！张雪迎不与评价！,无法获取
一直反转再反转 看的热血沸腾 刚开始以为天平是坏的刚想讨厌他 看到后面天平你真的呜呜呜呜,无法获取
好看真的非常不错,安徽
《孤星计划》不仅是一部电影，更是一封写给所有追梦者的信，用镜头和故事，细腻地描绘了青春、梦想与坚韧不拔的精神。看过了电影，很不一样的谍战片，超出预期，好多细节和反转，非常好看值得一,北京
"孤星计划里配角也出彩！反派心狠手辣、诡计多端，每次出场压迫感十足；队友间生死与共的情谊，几句台词、几个眼神就诠释到位。全员演技在线，碰撞出激烈火花，绝对值得一看！

🌟 推荐

😊 演技",安徽
很值得推荐！,广东
"太好看了，看哭了 很感人 真的超级好看
🌟 推荐",广东
非常尴尬 真的非常尴尬,四川
非常推荐大家去看《孤星计划》的故事始于百年前的上海大学，小工人李一民与同学们在国家危急存亡之际携手并肩，为民族独立而拼搏。然而，学校被占，昔日同窗踏上不同道路，重逢于猜忌与牺牲之中,上海
很好看的，演技都很好,广东
剧情好精彩！跟我想象中的完全不一样！镜头也拍的好！,云南
群像电影，剧情紧凑，一直在反转，很适合去电影院看,上海
很好看 有很多的反转 有几个人的身份是到结尾才猜出来的 剧情不俗套,上海
很棒，画质好，音质好，编剧非常有水平，结局死的太多，每次动作很短是最大的遗憾,浙江
超好看！！！值得刷n次！,上海
我个人觉得一般、没意思😐、也不知道这个评分…..,青海
非常好看！有十几处反转。最后，李一民为了大家而牺牲，搞得我很心痛,福建
很不错，挺热血,广东
超级好看，剧情反转反转再反转，作为大学生，看得好热血！,四川
超级好看《孤星计划》影片汇聚了优秀的演员阵容，包括年轻演员和实力派老戏骨，两万平方的还原实建，满🈵的诚意😊12.7绝密撤离,上海
剧情后期非常有看点！全员演技在线的。y1s1前半段节奏有点拖，但还好，都是为后面服务的，后半段看的不过瘾,陕西
特别好，王源孤星计划爆！特别好，王源孤星计划爆！,湖北
好看，推荐看,江苏
这可以啊。拍的不错了。年轻演员需要鼓励～,上海
"🎉闪光点好看

😭 哭点好好哭

🌟 推荐超级无敌好看
大家可以看看",上海
王源电影孤星计划，剧情反转反转再反转很多伏笔，值得再刷，王源演技太细腻了，很触动人看哭了。,上海
很好看，看完真的后劲还挺大的，特别后面部分很感人，剧情也是反转反转再反转你永远想不到反派是谁,广东
王源演技在线  悬疑反转都很有意思,上海
还可以 演技一般但是主角好看,北京
真的真的巨无敌好看！属于是那种不到最后都不知道谁是好人谁是坏人,广西
非常好，给我看兴奋,山西
真的超超超级好看！！！！！剧情反转反转再反转 永远会被群像所感动！！！！疯狂安利！！！,重庆
《孤星计划》真的太好看了，反转很多，演员演技在线，主角没有光环，反派有脑子。值得去电影院多看。,上海
每次看这种我都想高呼中国万岁！,上海
疯狂反转！！好看,上海
反转反转再反转，看过的都说好！！是你绝对意想不到的结局细节拉满，细看才能发现，已经三刷了😍，发现更多更多细节，超级值得多去电影院看几遍🤔，祝《孤星计划》票房大卖！,上海
王源演技真不错👍有被惊艳到这部电影值得观看哦,湖南
《孤星计划》超级好看！！！电影里面超多高能场面，反转碟中谍，紧张、刺激、感动、热血沸腾。而且剧情很快不拖沓，强推！！,河南
真的是反转又反转！真的太喜欢群像了！他们好热血！,陕西
反转很多 嚎看！！,内蒙古
"李一民最后奔向了他的黎明😭
📚 剧本
剧情很值得一看，再现了当时上海“白色恐怖”时期，人人自危的紧张感。谁是卧底？谁又是真叛徒？环环相扣的剧情，让观影厅的大家代入紧张的氛围。
“假营救 真叛徒”的局中局，是否能顺利完成的“孤星计划”，都让人充满好奇和思考。
不同身份的人，都在为同一个计划，尽自己最大的努力😭
值得一看！！！",北京
"7号看的 现在才想起来写评价
这部剧反转好多 虽然我猜到平可能会反水 但是一开始确实没想到章是坏的 
正反派的智商都在线 没有强行降智突出主角光环 侦查意识很强 激将法完全没用
一个印象深刻的点是通过沈荩知道真相 我还怕那封信寄不出去 不知道要被骗多久呢 结果李一民通过这个就猜出来了 还挺神奇的走向的
可能开头十几分钟节奏有点慢 但最后走马灯的时候看着还挺痛苦的 原来是这部影片相比较最快乐的日子了
最近在平台也刷到了很多大家说的细节 感觉自己有些都没注意到 有机会再二刷看看",广东
每个人都是主角都有脑子真的很好看，看到里面的被🔪时和快被抓住时都会紧张起来🥺🥺🥺,上海
孤星计划确实不错，值得大家去电影院看看，感受青春热血爱国片，了解 五卅运动和白色恐怖那段历史,湖北
朋友推荐去看的，很不错的一部电影，完全沉浸其中，没有那么多的煽情，很真实。,上海
特别好看 大家演技都好好 特别是王源 刮目相看,上海
超级好看！！反转是我没想到的，不带任何粉丝滤镜，我拉着我舍友看的，我舍友对明星一点都不感兴趣，但我俩回味了一天，她说真的好好看，拍的好好,辽宁
觉了王源演技有目共睹,广东
反转反转再反转，很好看，描述了一群年轻人护送胡先生离开的故事线，最后看哭了T﹏T,广东
太烂了，各种槽点出戏，不知道分怎么那么高，烂片一部，演技拙劣,广东
非常好看 剧情好精彩 王源演技在线 请多多演戏 爱看,上海
剧情刺激主演演技好推荐观看,上海
本人表示看不懂,北京
不愧是王总演的超级好,广东
超级无敌爆炸好看,福建
不错推荐去看！,上海
"剧情超级好看，反转有能够猜到的地方，也有不被发现的地方，到最后都是能够看得懂的，感觉很热血，从小人物身上聚焦这种热血，更能让人感同身受。演员的演技特别在线，不会让人出戏，剧情还是比较流畅的，还喜欢一些隐喻，不会觉得很莫名其妙
🌟 推荐
喜欢热血悬疑谍照的冲！
😊 演技
很不错，自然
🌅 画面",上海
很好看，演的很看,江苏
真的很好看，反转剧情，代入感超棒，建议都去看看,江西
🌟 推荐王源的演技真的是成熟了不少 其他的演员的演技也很有感触 大家的演技都很在线 今年为数不多的好电影,辽宁
大家这个电影真的很好看，朋友推荐去看的。剧情衔接的很好，很建议大家去看看,上海
"真的无聊得很
",江苏
好看，哭了4次,广东
画面呈现的转变，演员角色的演绎，情节反转又反转，观影整个过程很有代入感，并且里面的每一个人物都有他存在的意义，细节都有call back，值得n刷！！！,上海
特别好看 值得和朋友一起去看 年轻人和老演员演的电影挺好的,上海
特别好，真的是好好哭，源源真的很适合这个角色，懵懂与勇敢都演了出来,山东
好看的电影，主旋律，偶像剧，好多老戏骨加盟其中，值得大家去二刷！尤其是其中的逻辑紧密，非常好！,江苏
群像电影，剧情紧凑不拖沓，很适合去电影院看,广东
非常好看！！！王源的演技也有很大的进步,河北
其实一直不知道讲的什么，看见很多人说群像的力量，刚开始还不懂，看到最后忽然就明白了，今天跟朋友一起去看边看边讨论，我们还以为自己很聪明，到最后发现我俩也被哄住了哈哈哈，值得推荐！！！,四川
挺好的 王源的演技虽然没有特别成熟但是相较于前几年有很多进步 张雪迎笑起来挺甜的  独眼开枪很帅！,陕西
还不错比较热血,无法获取
"剧中很多地方都是我所以意想不到的 在我的认知里 我一直认为主角是会走到最后的 所以我在看之前就天真的认为大家都活到了最后 可是当剧情一次又一次的反转 主角一个接一个的牺牲 便已让我感到惊叹 直至最后 我认为至少李一民留下来了 但并没有 电影以李一民的牺牲为结尾给我重重的一击
看完孤星计划我才明白 主角不是都自带光环的 我们同处一个世界 人人都是平等的",天津
超级好看👀，全员演技在线，可以二刷的那种,广东
剧情太俗套，反转没水平，都猜到了，没有演技，真后悔看，差不多10段回忆恋爱，,黑龙江
好看，推荐。,陕西
星星之火 可以燎原,无法获取
年轻人奋斗故事都由年轻演员演，很真实很感人，小源演技也有进步，是超棒的一民，喜欢,江苏
真的很棒！好好看非常值得看！已经是三刷了，不是冤枉钱，很刺激，很有料,浙江
星星之火可以燎原，无畏有为的年轻人将黑色的天空撕开了一道口子，射进了光。孤星终会迎来黎明，百年前青年学生的火种，也一定随着时代的洪流给今天的我们带来新的力量！,重庆
非常好看，极限反转，青春热血群像,辽宁
烂片！强行反转，很多情节设计不合逻辑！侮辱这段历史了,北京
非常好看，剧情反转反转再反转，让我有点措不及防哈哈哈哈哈哈哈哈,上海
冲着王源来的，我记得王源演的还不错，客观来评价，电影可以构图灯光都挺可以的，剧情挺流畅的，其他的配角演的也都好！,河南
好看很喜欢。,山东
反转比较简单能猜到，演员略显稚嫩,江苏
非常好看，今天我的莱阳到了 他第一次就看了源的电影，太棒了👏，这里面有太多意想不到的事情了 感觉时间过得太快了😭,江苏
最热血的青春悬疑片，看的热泪盈眶,重庆
没意思。全场六个人一半都没看就走了。浪费 130,甘肃
可以 小鲜肉也突破了认知,上海
每个人都有属于自己的发光点🥳🥳,上海
孤星计划真的是一部很好的群像剧谍战剧 主角们都在成长 真的很热血 他们明知不可为而为之 为革命事业努力奋斗甚至牺牲生命让我热泪盈眶 最后的反转超级燃给我看的心一颤完全没想到好吗 还有反派咋那么聪明呢我有好多次都提着一口气为主角担心 然后结局也很意外 最后片尾曲一出来我看的一幕幕就真的在脑海中不断回放 我真的爆哭,上海
剧本还行，基本能自圆其说。,辽宁
比我预期要好，张雪迎真的好漂亮,北京
好看 反转厉害,上海
嗯😐？我不喜欢别人,湖北
被硬控两个多小时，看完之后满脑子都是男主的大圆脸和女主的大龇牙，服了，看的就是一个难受，故事都讲不明白，全程都是男女主的脸部特写，知道你是拍电影，不知道以为你拍的流星花园2呢,陕西
"前半段还行，后半段烂片。
后半段主角的个人行为让人感到迷惑。不是不允许出现感情戏份，但是个人的情感叙事代替集体叙事，加上部分人物动机和一些降智操作让人感觉为了反转而反转。
后半段如果再改改剧情就好了，电影是视觉的艺术，柔光镜一加剧照是挺好看的，但如果故事不好逻辑有问题，就只是一部一般般的片子。",浙江
一般，一般，不喜欢,湖北
打打杀杀，胡编乱造，毫无逻辑和深度！,辽宁
还不错挺好看,浙江
