comment,ip
王源演技爆棚！《孤星计划》大爆！！！,山东
超好看 都快去看,广东
在这个喧嚣的世界里，《孤星计划》这本书像一颗孤独而又坚定的星星，照亮了我内心的某个角落。这不仅仅是一本关于成长的故事，更是关于勇敢面对现实挑战的人性探讨。,广东
全员演技在线 过两天二刷,北京
剧情不错，建议准备好纸巾,贵州
"超级棒的小源

为了一个黎明我们向死而生 
为了一起同行我们选择坚信",福建
挺不错的 演技也很好,广东
好的很 孤星计划爆爆爆,安徽
剧情节奏很快，前期铺垫，到后期好多高能！到结局还有很多反转，我看的心揪起来，真的是给我很大惊喜了，几位主演的演技也很在线，真的不要随随便便就否定了他们的努力和这部电影，真的是一部好电影，值得更多人看到！而且教育意义也蛮好的！！,江西
非常好看！反转很多！,山东
"开场的瓢泼大雨和黑白为主色调的影调，瞬间将观众代入到上个世纪的特殊时期，白色恐怖横行，人人自危，而青年也被推上了历史舞台，被赋予了全新的历史使命。

影片开创性的采用青年人的视角，来讲述主旋律的故事，并适时的加入了悬疑、惊悚、动作、谍战等元素，
不光增添了影片的可看性，也脱离了传统主旋律的桎梏，更体现出创作者浓浓的新意。

袍哥会，工纠队，孤星社，这些书本上名噪一时的组织，都在影片中有所体现，配合着当时的乱世，很容易产生代入感。说起来，在当年那个纷繁复杂乱世中，每个人都不可能置身事外，每个人都是孤星。",北京
请朋友看的，朋友说特别好看，很多反转,福建
抛开粉丝角度，真的被这个电影吸引住了！太多的反转让人意想不到，每个人的演技都非常的好！当然承认一开始是为了王源去的，但是当我坐在影院开始看的那一刻，被剧情所吸引。剧情反转反转再反转，心率直线上升，超级紧张。梦华死的时候让我感到惋惜，一民飞奔到梦华那里我为他感到紧张。那段历史太多默默无闻的人牺牲，不知姓名，也是因为电影赋予了他们名字。还好最后“胡先生”成功离开使人松了一口气，也为了他们最后的牺牲而感到伤心。,湖南
很热血！！！！,贵州
趁年轻勇敢一次吧,广东
伏笔细节极多，反派智商在线，没有过多煽情，没有主角光环，全员演技在线，超两万平米场景真实搭建，猫眼开分9.4，好的电影不应该蒙尘，希望更多的人可以抛开偏见走进电影院,安徽
真的很喜欢《孤星计划》！细节处理的很棒，之前看预告片以为自己知道结局了，没想到居然还有大反转！讲述了一群为理想信念而努力抗争和奋斗的青年，不惧生死、以身入局，最终战胜了反动派，取得任务胜利的故事。人物形象描写的十分细致，小人物小角色也有自己的故事，坏人同样智商在线。影片还体现出了人性的挣扎┄为友谊和正义的牺牲与为权势和生命的背叛，是我看过的最热血的青年奋斗影片！感谢李一民，也同样感谢像李一民一样奋斗过的青年英雄，致敬每一位为了国家安康而牺牲的革命先辈！,辽宁
真的太好看了！王源演技超高，每个角色生动形象，逻辑缜密，最后王源的歌也超好听～大力推荐，是一部非常好的片子！,北京
很好看的一部爱国谍战片 演员演技都在线 情节也非常精彩 剧中有很多伏笔和细节 很值得看,山西
"🌟 推荐

😊 演技

😊 演技

🌅 画面

🎉闪光点

🥚 彩蛋
群像，很好看，有好多反转就是没想到，而且剧情紧凑 还全员智商在线，眼神戏也很好，历史书上的寥寥几笔，确实当时很多人付出的事情，后面看完复盘，有很多意想不到的情节没有发现。推荐推荐大家都去看。",安徽
超级好看，本来看宣传片的时候就觉得还行，结果现场一看，哪里是还行啊，简直就是太棒了，反转反转再反转，根本猜不到谁是卧底，看一遍根本不够，还想再看第二遍第三遍，强烈推荐＃热血青春悬疑谍战片＃青春群像剧＃加入孤星社投身绝密战局＃每个人都能做出不平凡的选择,山东
带给我很多感动，影片中每个角色都塑造得十分生动，剧情衔接自然紧凑，演员表现在线，非常值得观看！,重庆
超好看 都快去看,江西
剧情很好  演员演技在线  真的是10加反转 分不清正反派 直到后面剧情一直在反转  很喜欢❤️❤️,广东
影片突破谍战戏传统框架，将主角设定为少年人，为谍战题材注入青春活力，让观众从年轻人的角度感受那个动荡时代下的热血与激情,重庆
特别壁纸特别好，演技进步特别大，全员在线,无法获取
好看的 很投入,江西
还不错 张雪迎演技挺好,无法获取
电影多重反转，很精彩，热血沸腾，非常推荐去看，这次王源的第一部男主角的电影，感谢家人们多多支持，让我们在电影院与李一民见面吧,广东
剧情好棒！谢谢王源带我了解这段历史 ，王源和其他演员们都演技演技在线超级棒,重庆
剧情很多反转，看的很不错,海南
非常好看，好看的很,山东
全程三个反转，情节紧凑，让人跟着剧情一起紧张，结尾蒙太奇剪辑的太好了,广东
"😊 演技
每个人演技技都很好
里面那句“我们无法选择未来，但可以选择过去”超级感人",海南
很好很值得看,吉林
《孤星计划》里每个人物都鲜活立体，有友情、勇气、热血 ，后面的反转也很喜欢，群像的力量很棒！,广东
超级超级推荐，全员热血，只为一个目标，剧情反转，男女主都很帅，好漂亮，大家快去看,贵州
一群团结热血的爱国青年 ，有家国情怀，有团结精神，每个人物都刻画的好好！一民真的是太令人震惊了 真的太强大了😭作为非科班出身的王源确实给了我很大的惊喜，特别棒 演的好😭 表情 台词都很到位 哭戏好有感染力😭 剧情反转再反转，既热血又感动，总之这是一部特别棒的电影 值得一看！《孤星计划》票房大卖！🔥,福建
"特别好看
🌟 推荐

😊 演技剧情完全不一样，主角没有主角光环的",安徽
"反转反转在反转，剧情真的是紧张又刺激，演员的演技也超级棒咧，超级推荐！
🌟 推荐

😊 演技

🌅 画面

😭 哭点",广西
真的非常非常好看,重庆
超级好看，有很多的反转小源真的确很很棒，祝孤星计划大卖，星星之火可以燎原，很热血,安徽
我个人觉得还是挺好看的，剧中有老多反转了，看的我是又哭又震惊的，这次看电影迟到了，没赶上开场，我都没有拍到那个非常炫酷的孤行计划😭😭，还有我看电影的时候擦眼泪，我眼线都被我擦掉了😂，如果还没有人看过孤星计划！那我真的会很伤心的ok？去给我看！！！别问我为什么隔这么久才给评价问就是懒,无法获取
不错  很好看,浙江
剧情太棒了，全程全程一整个心被提起来，太反转了，你完全不知道谁是好的谁是坏的，真的值得去看看的,浙江
特别好看 很喜欢,无法获取
非常好看，看哭了，他们真的好勇敢😭,河南
剧情在线好看,广东
很好看 反转反转再反转 内容很精彩,江西
