comment,ip
剧情好，画面好，演技绝了,四川
故事是个好故事，就是主角的颜值被配角秒了啊。。,广东
太好看了王源,广东
很不错，王源和全体演员都很不错，演技在线,广东
剧情反转再反转，电影伏笔埋了很多，全员智商在线，真的好好看，,广东
王源演的真的很好，我只是学生没时间去看不过整的很推荐去看小源是一个歌手能演出这样的电影值得推荐请那些没看过就瞎评论的人想想,甘肃
"🌟 推荐
期待有更多的人可以去看《孤星计划》

📚 剧本
剧本情节完美，更有很多反转，故事情节跌宕起伏

😊 演技
每位演员演技在线，特别是王源

🌅 画面
画面清晰

😭 哭点
看到章贵生刺向梦华得一刀和梦华被扔下楼
最后一民和开车牺牲自己撞向白总指挥的时候

🥚 彩蛋
电影结尾的王源演唱的《别丢了你的勇敢》",陕西
"前半部分剧情好尬，尬的脚趾扣地……也不知道是剧情太单薄还是演技太青涩……
还好后半部分的剧情和反转还行，勉强扭转了一点印象，也能看吧，就是老觉得弟弟还没长开，跟其他人不在一个年龄段🤣",湖北
比想象的好看太多啦,重庆
太好看了，李一民真棒,广东
非常棒的电影，会去二刷，结局意想不到，反转加反转。,河北
剧情 碟中谍+大反转 演员演技全在线 喜欢看悬疑谍战的可以看看 《孤星计划》超好看的 好的电影值得 强烈推荐《孤星计划》,江苏
还可以吧，悬疑的电影,安徽
《孤星计划》绝对是一部被低估的影片 本来看的官方放出来的宣传片也没有太大的观影欲望 但是去看过之后被后面的剧情反转反转再反转真的给我震撼到了 剧中的梦华真的是一个特别勇敢的女孩子 后面她被虐杀的片段真的看的我触目惊心 还有李一民最后拼了命也要完成任务的勇敢 坚定的决心看的我泪目 所有人都很棒 很热血！！值得推荐二刷的一部电影。,辽宁
这部片非常好看，王源演绎的人物非常震撼人心👍👍👍,江西
太喜欢看啦一定要去看第二遍看细节！！,广东
非常好，每一个人无法坚定出生但是可以决定未来,广西
特别好看剧情悬疑反转反转再反转,安徽
剧情非常吸引我，演员表演很让人身临其境，能够感受到当时的情况！,福建
很好的一部群像电影，每一个青年都在拼尽全力，用自己的力量完成那看似不可能的任务。,陕西
期待孤星计划！,湖北
李一民我们成功了,山东
超级好看真的!反转反转再反转!,安徽
"剧情挺好的 喜欢反转的剧情 最后也被同学的友情打动
🌟 推荐",江西
陪舍友去看的 特别好看,云南
反转多到出乎意料 全员演技在线,无法获取
"全员智商在线的一部电影，剧情紧凑非常抓人眼球，反转也很有意思，看完之后回味无穷，年轻演员们也演技在线，多数的谍战片都是由年纪大的人演青年，这部电影能看出来年轻人的热血，也很符合剧情人设，不论是剧情还是演员都很有意思，电影场景布置也很真实，看得出制作组也非常用心。总之是一部非常值得去看的电影，大家冲就完了
🌟 推荐

😊 演技",陕西
非常好，孤星计划大爆！,江西
非常好看 真的超级好看 剧情丰富 嘎嘎好 真的是超级哇塞 非粉都喜欢,河南
剧情反转很大 很好看！,河北
六星好评啊啊,河北
好看 剧情反转再反转！出乎意料!展现青年风采，不怕牺牲，，排除万难!,无法获取
傻子才看，无聊,湖北
"超出预期的好看
",辽宁
超级好看，反转再反转！！！,广东
非常好看，全员真假难辨高能反转，一群人一起努力的样子真的很感动，张雪迎很美，王源演的也很好，一点都看不出来是新人演员，眼神戏比很多科班生都到位，是最热血的青春悬疑谍战片，非常好看，很值得一看，也值得几刷去发现细节和巧思。,上海
挺普通的电影，没什么亮点，角色故事线基本可以猜出来，反转并不令人惊喜，间谍与反间谍的过程像在过家家，没有那种壮烈史诗的感觉。摄影老师费心了，火光下的镜头，电影院里的侧脸，车窗背后的红光留下了较为深刻的印象，但还是剧本太过儿戏，演员表演也平平无奇。,上海
太棒了李一民的眼神戏巨好！！大家快去看！,河南
好看碟中谍 忘了带纸巾进去,广东
演员演技在线，值得观看,重庆
非常好看，剧情很好，演员的演技都很好，很符合角色形象气质，很推荐观看，而且演的是民国时期，很喜欢！！！,广东
很棒，很感动,江苏
原来是奔着源哥看的电影，最后被影片的内容深深吸引住了，不带粉丝滤镜真的很推荐！,上海
超好看 二刷了,河南
舍友请我去看电影，阴差阳错就看的这个，觉得还不错，强烈推荐！,山东
剧情很好 电影里的每个人演技都很好 画面很好看 王源超级无敌巨棒,广东
"很好看呢，演技也很棒，剧情也很紧张让人充分感受
🌟 推荐",四川
挺好看的，让我真正的感受到历史是多么的残酷，让我很心痛,四川
"非常好看，非常的热血，每个人演技都很好，感觉他们就是生活在那个时代。王源的演技出乎了我的意料，真的演的非常好！
很喜欢这句话我们不可以选择自己的过去，但可以决定自己的未来。",河北
很好看 没想到的反转,河南
很好看的一部电影,四川
"😊 演技
全员演技在线
😊 演技
王源演技太好了，完全代入其中
😭 哭点
孤星社的伙伴再次聚齐的时候
🎉闪光点
主角智商在线，敌人也很厉害
剧情反转，代入感很强",陕西
一个关于青年救国题材 非常热血 青年们为国牺牲的勇气 是我们当代年轻人所该看见该学习的,广东
超好看  棒极了,四川
冲着小源去看的！！喜欢！看的时候一直和朋友讨论哪个会有反转 剧情很有细节 场景也很美！拍的雪迎很美！天…,广东
看完电影只想说，导演选角真的选对了，王源让李一民这个青年角色变得很有深度，很立体，所有情绪都是自然流露，完全不会出戏。,上海
跟朋友二刷完了 我们一致认为很好看 演员演技在线 剧情也很紧凑 没有主角光环 很真实 就是那个年代一群小人物拼命去完成自己的使命,海南
很好看呢，推荐,上海
推荐推荐 孤星计划爆爆爆,上海
反转绝了，反转再反转，整个片子看下来，热血沸腾,广西
一般般，如果身为悬疑片的话有内容，但是内容不够，唯一的精彩部分就是那一个转折，剧情的话中规中矩吧。,江西
太好看了 一民很棒  想看很多很多遍  王源未来可期👍,陕西
剧情跌宕起伏，反转不断！,山东
很好看，剧情跌宕起伏。,上海
很好看！王源演技真的很不错！剧情反转反转再反转也很有看头！,重庆
讲述了上世纪最普通最平凡的一群少年，在时代的洪流中他们做出了各自的命运抉择，有携手同行，也有背道而驰，待他们再重逢时，却要去完成一项具有重大历史意义的、看似不可能完成的秘密任务。电影结合青春和谍战，兼顾烧脑智斗和武打 《孤星计划》青春❗谍战❗❗悬疑❗❗❗反转十余次，全员黑白切。,山东
剧情很不错，一开始的时候真的很很带入了那个年代，后面跟着剧情揪着心，突出其开的反转，演员们演技很不错，推荐,河南
不要因为他是王源就否定他的作品,山西
《孤星计划》真的是一部基于真实历史的电影，几乎每个主要角色都有人物原型。如果没有《孤星计划》，我真的没能这样细致地了解这段历史。在课本里草草带过的几段文字几句话，背后可是无数个浴血奋战的瞬间，也是无数的血肉之躯。他们都是一个个熠熠生辉的名字，一颗颗闪光的星✨向这些的伟大先辈们致敬！《孤星计划》真的值得一看！更值得反复细看！,海南
还是很紧张刺激的，不过几个学生有这么厉害吗？,广东
太好看了、强力推荐,无法获取
看完感觉每个人都是不平凡的,贵州
好看哦，趁着下班时间去看的，之前在网上刷到过好多次早都已经迫不及待了，感觉李一民和丁梦华在剧中的眼神真的绝了，我的天，超喜欢这个电影,河南
