comment,ip
"很多人虽然是中国人，但实际上只是国人，有着“国”情，却没有“中”心
这是一部出色的作品，与网络上所普遍传播不同的是，这部电影反而是近几年来少数具有民族特色、文化内涵和民众关怀的优秀中国作品。导演是一位真正的辩证法家，能够不拘泥一种简单后殖民主义意识形态，我不觉得这是冒犯，我认为这是真正的反抗，得大体，才能真正拘小节，这才是一个“中国”人真正该有的气节和胸怀。",江苏
很好，非常好，特别的好！,河南
剧情非常满意，所有环节贴合现实但又隐含伏笔，一点也不出戏，是继哪吒之后国漫我的最爱！1我计划马上补一下，出3我会继续支持！,海南
很好成长的才过程需要志同道合的朋友，需要一个良师，一颗坚定的信念,福建
简直就是挑战人民大众的审美，有问题需跟进。,广东
超不错，很值得推荐的一部好片！,江苏
非常好看，期待团队下一部作品，保持热情，做好营销肯定能爆火的。加油！！！,广东
#电影雄狮少年2#  说明了在每一个平凡人的胜利的背后只要别认命，要为自己争一口气。无论我们的起点有多低，无论我们的条件有多差，只要我们敢于拼搏，敢于奋斗，就一定能够创造出属于自己的辉煌。,福建
片中关于网暴的一段含金量还在上升！永远喜欢玉兰花中绽放出木棉花、第一部片段开始闪回那一段！意气风发天上走，少年起舞不回头，阿娟继续往前走吧！,湖北
叫好不叫座，具体什么原因导演应该懂的,福建
比第一部好多了，喷第一部**华人的狠狠打脸了，这一部的主角巨帅！！,广东
啊娟太棒了，身材斯哈斯哈,广东
非常好，期待雄狮少年3龙舟,广东
非常不错，国漫现在发展的很快,北京
满分，本来从来不评价的，可是不想看到这么好的电影被黑,山西
神清气爽……,广西
看到电影里面的一句话。一定会顺风顺水。出人头地。但现实是残酷得。阿娟抱的朋友哭出来。那一刻我控制不住眼泪。哭出来了。仰天大笑出门去，我辈岂是蓬蒿人，。但我真的运到挫折想回家。想休息。还是没有回家。但现实告诉我们回家得用有钱。放弃很难。坚持很酷。乾坤未定，你我皆是黑马。听到最后无名的人歌曲。花自向阳开人终向前走。希望各位一定要出人头地。只要努力一切皆有可能。电影中看到了阿娟有不服输的劲。但一定不要辜负自己。给自己一个交代。祝雄狮少年二电影大卖,河南
没办法满分的满分动画电影。,广东
讲真！这些年看过最燃最好看的国漫电影，从来不会被网络喷子左右我的想法，带孩子去看的，无论三年前1和现在的2，都是那么的振奋人心！,浙江
好电影，值得一看,辽宁
太唐了🤣，,河北
超级好看 超级震撼 超级期待第三季 加油！！！！,广东
去神话引擎的国漫最佳,山东
感谢主创团队没有因为网上的一些恶评而去迎合市场，也感谢为中国文化和民族精神而坚守的无名的人！,广东
好看 值得去看,无法获取
剧情真的很棒，让人身临其境,山东
弘扬传统武术，很具有教育意义，同时动作真实剧情真实，很多传统武术的招式蕴含其中,辽宁
画质非常好  细节到位  看的也很燃 值得推荐,江苏
无敌！！！！,山东
"看完《雄狮少年2》，超出预期超燃！阿娟从一个普通的小男孩，变成了拳击场上的战士，虽然过程有点艰难，但每一次的努力和拼搏都让人感动。尤其是在面对不公平的对手和各种挑战时，他从不低头！

电影的画面非常棒，动作场面尤其是拳击赛的表现极为震撼，简单的“拳拳到肉”已经形容不了在银幕前的观感了。

虽然第二部的剧情里，阿娟和小伙伴从舞狮到了武术，但它还是成功地传达了不放弃梦想的精神。电影也没有忘记贴近现实，像网络暴力和不公平的比赛规则都很真实，给人一种生活中那些不为人知的辛酸。

“野草不死，遍地扎根，雄狮隐隐可现”这句话简直就是对阿娟的写照，不管多么艰难，阿娟始终没有放弃，最终靠自己的力量改变了自己的命运。

我想，这部电影不仅仅是讲一个雄狮少年的故事，而是让我们这些普通人也能燃起内心的小火焰吧！期待未来还能看到更精彩的国产动画！",安徽
太好看了，看这太激情兴奋了，跟一连着，很好看，建议看完然后看二,河南
推荐！满满的感动,云南
广东人的电影 太燃了,广东
无敌了…真的很好看,浙江
很好看。强烈推荐,无法获取
"质量很高！特别喜欢格斗戏，几个角色人物动作表情设计都很有特点有辨识度，动画的机位和视角可以比真人拍摄更自由，动作节奏设计的特别果断利落有打击感！角色成长的描写也很不错，从第一部懦弱少年到如今有志气又坚韧的阿娟，形象是丰满的！
看完后回家的路上想起汪峰的歌：那些渺小的、坚强的、无畏的，才是真正灿烂的你！",北京
和1一样挺值得看看的，续集没拍毁,陕西
"真的是一部好电影。
",山东
《雄狮少年2》是一部很棒的国产动画！老少皆宜。动画出乎意料的优秀，景物纤毫毕现，光影真实唯美，人物肌肉流畅，动作行云流水。故事情节也很精彩，配乐相得益彰。除了眼距太宽有些不适，其他都不错。,海南
非常好看！！,广东
😭 哭点：野草也要比天高,浙江
看得我热血沸腾，希望还能有第三部……,广东
i am what i am突然被最后这一下震到了！剧情我觉得无可非议，带着传统武术的传承，也带着小镇青年到大城市的辛酸与悲苦，也有对资本和公平的抗争，全程音乐我觉得都很燃，除了搞笑的二胡，说唱也很有感觉,云南
动画技术与叙事剪辑一流,四川
很不错  被黑那段再少点戏份就好了,上海
天花板，值得一看,广东
可惜，影片的角色不讨好观众，里面的角色都是很难看。这也是影片一大败笔。,江苏
太棒了希望出第三部，传统文化不能忘,广东
"我觉得这是一部好电影！
好电影是会让人动容，就是会为每一个人物捏一把汗！成年人的世界看过了太多黑暗，我们好像无力改变，但又暗自憋着一口气。
要像野草，怎么着都能活！",安徽
我作为动画从业15年、看动画30年的人，这部动画无论剧情、制作、立意都是上乘，让我感动的是，这部动画关注了广大底层群众，为那些弱势群体发声，不仅热血，还有对人民的关心爱护，这么好的作品，值得我们去保护，去支持,广东
舞狮少年不是舞狮的吗怎么改拳击了,无法获取
太好看了燃爆了片尾还是无名的人阿娟真的不容易🥹,陕西
是我喜欢的菜，有星爷电影的味道，现实中找星爷的演员是不可能的了，动画倒是可以实现，考验导演的功力，里面有很多致敬星爷的元素而不突兀，相当巴适,四川
真的挺好看！,陕西
很久没看过这么好看的电影了！,广东
不管是一 还是二  看完对我感触都很大,四川
我只想问什么时候出第三部，这一部很好看！非常好看！剧情好，打斗好，整体感觉都很不错！还没看的时候，不抱希望，因为第一部讲的是舞狮，第二部怎么变打拳了，该不是硬套的吧，没想到这么好！应该多宣传这电影,广东
"剧情很好讲出了阿娟的成长
🌟 推荐

🌟 推荐",辽宁
非常好 值得看 不要听网黑,广东
太棒了，看得热血沸腾，强力推荐！,四川
好看的，虽然舞狮变成了格斗,上海
第一次评论一个电影太热血了，第一步也看过,云南
非常好看，热血沸腾，让落寞的心灵重振！和阿娟一起勇敢直面生活的挑战，不要怕失落，不畏惧人生暂时的停滞不前。音乐特别给力，人生就需要鼓点，那是生活的节奏。,安徽
看过不会失望的电影👍🏻三年了，打磨的很好，一些细节处理的比1还要好!哈哈觉得电影里其中一些片段讽刺了第一部的处境。好电影经得起时间的考验，一切交给时间叭!🥺,无法获取
阿娟长高了，强壮了，也变帅了，但依然是那个与命运抗争的雄狮少年！雄狮少年系列的动漫电影，没有传统历史或者神话传说的加持，故事也很简单，就是普通人实现梦想的过程，但是，雄狮少年系列电影具有让你对迈向梦想的执着和信念，有共鸣，有感动，有激励，有收获！就像电影里说的，人活着就为一口气！！,天津
不再是舞狮，但依然是头雄狮。,广东
买票看绝对不会失望,上海
很励志，很热血，也很现实，很好看！,江苏
好看！冲就完事了！是被第一部吸引的，没想到2一点不比1差,江苏
"鼓点一响，燃爆全场.
生于野草，活成雄狮.
阿娟，别来无恙！
",广西
"🌟 推荐
值得一看！",广东
清者自清，莫要成了小马过河,云南
非常好看，跌宕起伏，一个动漫画的非常写实，第一部看了就很好看了，没想到出了②！！！感觉第二部更热血更燃,广东
强推！！很久没有看见那么牛的作品了,上海
看完了之后一样高燃，雄狮少年，有几段场面让我不经热泪盈眶，没有刻意去煽情都是真实情节，阿娟被欺负和面对网暴的那种无力感，我都看着揪心。但阿娟就像野草里的雄狮一直百折不挠的精神，我觉得是值得去学习的，我觉得雄狮一是第一部铺垫，二是体现。总之就是佳作，期待三部再创佳绩。,广西
立意题材不错的一部电影也挺喜庆 雄狮出少年 励志向上正能量 新一年年轻人需要多看一些正向的东西补充一下,四川
很不错的国漫！！,湖北
"很喜欢第一步在阿娟老家有好多美丽的场景。但是比起浪漫的第一部，第二部的故事背景则现实了许多。
毕竟在钢筋混凝土建成的城市牢笼中，人们几乎失去了从家乡的文化底蕴获得勇气的能力，和发现美的心。
被现实压垮的人们，很难看到生活中透露的美。
但是也不是说第二部没有第一部里那些惊艳的画面了。当导演需要意识和情感上的表达时，同样会用一些超现实的画面，比如玉兰花中爆发生长的木棉花。这些都是阿娟，通过少年阿娟的灵魂感受到的，是属于他根里的东西，一股韧劲，不服输的顽强的生命力。
二刷观后感：
从第一部里面真正的舞狮，变成第二部里男主内心的隐射。对本社畜来说，这种变化真的是……太能共情了。
曾经的豪情壮志、值得骄傲的梦想，变成了现在鼓舞自己的一种象征性的东西。感觉有点憋屈。
但是看到画面中不断闪过的，路边、树下、石缝中窜出的生机勃勃的小草，才让我意识到，就算梦想不能陪伴我一生，但是我也能漂亮、坚强地活在这个世上。这就是儿时的梦想教给我的！
片尾曲也很好地为这一立意进行了进一步诠释。
镜头、3D技术、配音、配乐这些硬件配置，统统满分，孙海鹏导演和团队你们太棒了！
这部片子就是100%热血！",河南
好看，精彩！,广东
超级好看，雄狮顶住,山东
"看预告片会想怎么第二部主题变成格斗打拳了，但是还是抱着对第一部的喜欢来看了，电影节奏很棒，看完会发现舞狮还在依旧有着那只雄狮，故事发展十分结合当下信息爆炸时代，传统武术与醒狮都不能丢，同时特效细节也十分到位，passion！真的真的很感动！！
仰天大笑出门去，我辈岂是蓬蒿人！",福建
祝这个电影全体演员跟创作团队都跟雄狮少年长得一样精神,广东
