comment,ip
单纯的少年，简单的需求，一颗勇敢的心，格斗里满🈵满的中国魂。,江苏
真的好看包场看的 花了我40,云南
超级超级好看！！感觉是今天最好看的一部动漫！！很热血！而且还弘扬了咱们的中国武术。值得一看#电影雄狮少年2#,江苏
和孩子一起观看，非常精彩，很励志。,广东
目前看过最热血的动漫了,江苏
有一说一，目前最能打的国漫电影，支持,江苏
年末惊喜啊！！！我的雄狮,湖南
画面剧情都不错,广东
很好看！剧情节奏都不错，一开始确实也是觉得明明是舞狮怎么就格斗了。觉得不行，看完后觉得真不错！弘扬传武，草根少年，剧情真的很nice！另外背景音乐也非常赞，一部好片，期待下一步！,江苏
第一部出来的时候大家都在讨伐画风***，所以当时我没有去电影院看，偶然一次在电视看到这部电影评分很高，抱着看一下吧的心态，结果风景画面剧情都让我很震撼，感动，所以想着第二部出来一定要去电影院看，今晚看完了，依然是那个振奋人心的少年……希望出第三部,广东
年度最燃最好看的动画，场景建模几乎以假乱真，太厉害了！,福建
"太顶了吧！！中国目前最好的动画！没有之一！好燃！每一个中国人都要看的一部电影！我必须要推介给身边的每一个人！太爱阿娟了！
🌟 推荐

🌅 画面",广东
画面逼真，接地气！剧情不庸俗，也励志，适合带小孩一起看,福建
看完第一部，一直很期待第二部，终于等到上映了，整体来说，很棒的一部国漫电影，承接了第一部，一样的热血，还有很多惊喜，很棒！,北京
超级好看，推荐大家都去看，简直了，中国动漫崛起，这种弘扬中国传统文化的电影多拍点，太好看了，简直了,湖北
很棒的呢我们,江苏
电影很棒，值得推荐！,海南
很好的一部剧，令人动容之处不少，很鼓励，青年奋发有为，我们常代入角色，又游走现实。,广西
年度最佳！比第一部故事性更强～,湖北
好看，期间两次泪目,浙江
燃的人头皮发麻啊！！！！,新疆
非常好看，超出预期！！！画质那方面真的没得说，看着很有质感，很真实，特别是嘴角的胡茬和手臂的肌肉细节等等，看着非常有代入感。剧情方面也很不错，而且里面也有蛮多我最喜欢的星爷电影的味道，那上海滩四大金刚高手在人间也像少林足球的情节。除了这些，电影的意象也很好，那条养在缸里的黑白鱼，晒干的咸鱼，野草里的野猫到后面野草里的狮子.....最惊艳的是那含苞待放的英雄花！！最后满树盛开，花瓣飞舞的画面真的真的非常喜欢！！！！！！我个人非常喜欢舞狮，中国武术，受父亲影响，也会看看拳击🥊，当看到阿娟将舞狮技法，中国功夫和现代格斗相结合时真的内心非常激动，有种家里的好东西终于又比以前更闪亮了并且没有被人遗忘的感觉！决定二刷！,广东
阿娟一定会住上大房子的！,河南
非常喜欢的一部国漫,广东
好看好看，画面设计感十足，醒狮唯妙唯俏，故事代入感感极强。那股奋斗的精神令人佩服，一部极好的亲子电影。,广西
刚看完《雄狮少年2》，心中满是感动与力量！💪 影片延续了前作的精彩，讲述了阿娟在上海为父亲治病而奋斗的故事。面对生活的重压，他选择了不认命、不服输的精神，最终在擂台上证明了自己。每一个为梦想拼搏的瞬间，都让我感受到“生于野草，活成雄狮”的力量！🦁,江西
