comment,ip
很好看，第一季已经很好看了，第二季更出人意料！支持！,广东
已经三刷了，这么好的电影应该被更多人看到，生于野草，长成雄狮，小草也能比天高！,江苏
好看的，为什么没有好票房？！,广东
"#电影雄狮少年2#时隔三年终于等来了2，确实很好看，很燃，动画效果也好，很逼真，好像真人一样，值得推荐，非常热血励志。
作为续作，影片在延续前作“雄狮少年”不屈不挠精神内核的基础上，将故事从舞狮拓展到了武术领域。这种拓展既自然又富有新意，通过阿娟来到上海后的生活经历，展现了他在面对现实困境时的坚持与成长。此外，影片还通过阿娟的成长经历，展现了亲情、友情、师徒情的力量，以及勇敢、拼搏与不屈不挠的精神，使主题更加丰富多元。格斗场面流畅自然、节奏感十足。",湖北
"剧情非常精彩，不落俗套，贴近现实
分镜一流，剧情流畅
动作戏可以说胜过真人电影
配乐高级~贴合度完美
画面顶级水准
立意，内核都是一等一
别听黑子的，一定要去看
国漫制作水平竟然可以这么好了~很惊喜，远超预期，从没想到动作片的崛起是一部动画片
很成人向的作品！我一定二刷！",贵州
超级好看，值得二刷的一部电影,安徽
"剧情很有意思，主角刘家娟。它一整个都在写主角为了给父亲治病，决定进入格斗比赛赢奖金，一点点往上走，最后他靠实力成为了决赛四霸之一。中间还有很多搞笑镜头。刘家娟在擂台上勇敢拼搏的精神着实让我感动。

一个人为自己努力可能坚持不了多久，但为了更多人而努力的时候，才有可能打破极限，成就自我。利他就是最好的利己，大爱无疆。",江苏
"看完前半部分很想打高分的，可惜对我来讲剧情还是有不能忽视的硬伤。优点是画面很精致，打斗动作流畅很爽很带感，各种意象有趣生动，搭配上一些点上的音效会有惊喜的感觉，特别是bgm，对我这种喜欢说唱的也加分，歌词不尬节奏流畅有力，和拳击真的搭，之前很多作品包括动漫里都有类似的应用，希望可以更多发掘。
但是剧情的老套和不合理还是让我难以忍受，当然，这种励志剧情老套一些也很正常，经典的收买裁判，临阵磨枪等等也都可以接受，但是网暴这种剧情真的让人无语。之前在好东西里面也有类似的表现，但是那是剧情顺其自然推进的结果，并不能说是很突兀或者太狗血，而且确实能给人一些真实感（当然我也并不喜欢这一段），在雄狮里面，网暴太过简单无脑，不仅把网友当低能，还把观众当傻子，且不说你一个武馆多大规模，就算是真大资本家，你能这样操控舆论无中生有还一边倒吗？现实中有这样的例子？而且表现方式也很生硬刻意，就算是上个世纪，也不会有人因为一个莫名其妙的打架视频给你家里人贴大字报。现在的编剧导演可能是真的缺乏想象力了。
总体来说还是值得看的。",江苏
不管是剧情，文戏，打戏还是画质都十分出众,四川
剧情流畅，动作精彩，很励志的电影,广东
非常感动，泪目了,湖北
