comment,ip
带儿子去看的。非常非常非常好看，看之前还不知道抖上不少人黑不知道为啥，个人觉得很值得一看，反正我儿子很喜欢，6周岁,无法获取
"非常不错的一部国漫神作，我从小就喜欢武术
,长大后自己去追寻梦想的样子跟主人公很像，非常有共情，从一个小镇到大城市打拼只为了梦想，虽然梦想和现实相差十万八千里，我虽鞭长莫及，但我也马不停蹄",广东
真的很赞，近几年看过最优质的国产动画电影，细节满满。,广东
都不戳就是感觉有一个地方有点聒噪,吉林
非常好看，画质非常好，故事讲的也非常好，非常喜欢，希望会有第三部。,安徽
本人觉得很好看,西藏
"#电影雄狮少年2#
《雄狮少年2》延续了前作精神，舞狮追梦之旅再燃热血。影片情感真挚，动作场面震撼，展现青春不屈与成长力量，值得大家一看。",无法获取
仰天大笑出门去，我辈岂是蓬蒿人,河南
绝对值得票价，优秀动画片,广东
个人觉得某些方面超越了《魔童哪吒》,湖南
《大圣归来》《哪吒之魔童降世》等前行者为国漫与中华武术动作设计的绝佳结合铺平了成功道路。《雄狮少年》另辟蹊径巧用精髓，动作设计稳准狠，快慢镜头结合，干净利落。其炸裂效果犹如当年徐克的《黄飞鸿之狮王争霸》。《雄狮少年2》是一部真正的武术动画电影，真是太棒了。,重庆
很好看，13号在电脑上看的雄狮1，凑巧14，15号就首映2了~缘分吧！打了9分给他们留一分上升空间，以后会越来越好的！！！应了电影的最后:仰天大笑出门去，我辈岂是蓬蒿人！,四川
太精彩了，请继续,湖北
影片超然超热血但是！电影院不让看片尾！着急下班了怕是！气人！！！,浙江
非常好看，真不是拖，不知道为啥网上黑那么多，票房也不高，我这一场看的偌大影院就只有不超过十个人看，我第一次看雄狮少年2，全程画面没有一场不好看，一开始人物画风没有习惯，后面通过武术和剧情，还有各种插曲，超级超级好听，励志，热血，全程没有煽情的点，后面男主越看越帅气，都是按照真实的生活场景去制作，特别在打拳击🥊声效加分，看的越看越激动，希望能出第三部，两个小时非常值得，拳击打在男主身上，我看的都有点不敢看，真的值得推荐！非常好看！剧情没有拖拉，武术和格斗打的流程帅气，是真的很用心了，希望大家多去捧场，不要因为什么外貌，要去看内涵，努力的人是没有缺点的。,广东
"我是个不爱看动画片的人，喜欢真人演绎的电影！但是雄狮少年的第一部深深地打动了我！
许多电影拍第二部的时候都会出现很难超越第一步的情况，但是雄狮少年的第二部再一次让我惊喜！
故事写得特别棒！人物塑造的非常丰满！该爽的时候爽到底！陷入绝望的时候，你都觉得已经没有办法逆袭了，但偏偏又做到了、而且在意料之外情理之中！
爱了爱了！",江苏
巨好看！！！,湖南
音乐和剧情都很好,天津
个人感觉很棒，是这5年国产动画电影能进前四的,江苏
当初超级大的节奏，导致第一部我是平台上线后带着看笑话的心情去看的，结果看的爆哭。今天看完第二部，我想说，你就是我心中的2024年度第一！！！！太燃了！！！传统文化、国粹与现代动漫的完美结合，短发阿娟算不上帅，但刻画得就是草根的逆袭不是。小雨越看越好看，可惜没有彩蛋，虽然就我个人看法哈，但没看到最后你俩没在一起我浑身好像蚂蚁在身上爬🤣🤣🤣,河南
好看极了！！！！,河南
"虽然网络负面评价挺多的 但是如果真的有去看这部国漫的话 真的特别感触！我是买了票后发现了挺多负面评价但是我还是去看了  真的没有像那些负面评价一样  而且这部动漫有在很好的宣传舞狮 如果对这有争议的话请走进电影院看看好嘛 然后再给他一个公平的评价 希望能出第三部真的特别感触我的！！
🌟 推荐",广东
电影雄狮少年2动画效果和人物形象比第一部升级了～打斗运镜很燃炸！真的让我眼前一亮，细节处理的太好了，还有特别出彩的地方就是配音，音效加强了电影故事节奏。#电影雄狮少年2#,广东
热血好看的推荐,无法获取
"之前这电影一直被网薄被辱骂直到今天我都能看见说‘美术风格’辱了人，像【唐儿】，眼距有问题，可对我来说很有趣的一点是，我看第一部的时候，真的是和一众唐儿、自闭症、小儿多动症甚至走路都有问题的小孩去看的，我和我妹妹去跟着社区义工活动去看的，到现场负责稍微照顾一下这些必须每个家长都陪同的孩子。多么戏剧，我在没有见过唐氏儿之前因为这部电影接触了唐氏儿的概念，然后第一次看这部作品也是和唐氏儿一起。
部分国人自卑且阴暗，或者又是什么东西的水军，像审判一样对着‘眼距穷追猛打’很荒诞，但是又符合这个看起来人人正义的时代。这电影和主创们在影片中的想法是表里如一的，那种我活要活出一口气的精神气，是通过影片完全展现出来的。故事和电影是很标准的英雄主义叙事，但是又不是彻彻底底，更多是周星驰式的小人物也要闪光，挫折和苦难会随着时间过去一切都有因果。视听效果非常好，可以作为休闲的片子来放松去看，这片子不是思考，而是一种气，看完之后会有一种打气的感觉，节奏把控很好，人物的细微表情演出非常有感觉。而那个‘眼距’问题，我觉得真的是自卑和看不得好，因为我的表姐，真的和2部中的女主角一模一样的脸蛋，很有区分的人物设计。",安徽
好看，非常好看,河北
不知道什么时候起大眼睛双眼皮才是美？！美只有一个标准吗？故事本来就是讲述一个普通，甚至有点丑的人！难道他们就不配当主角吗？主角团不仅要在剧里被网暴，现实中也要被网暴？呵呵，太讽刺了！如果因为他们的脸被网暴，为什么不去网暴毕加索，毕竟他笔下的人更丑！大家真的应该给阿娟一个机会，让普通人成为主角！,湖北
没想到会这么好看满分,广东
剧情好看，配乐好听，打斗流畅。电影展现了平凡人的普通韧劲，像小草一样的顽强生活。,广西
雄狮少年2果然没让人失望！,江苏
这个ip让2毁了,河南
很好看，希望大家可以去电影院亲自欣赏,上海
真的很好看，很后悔之前被舆论影响没看第一部，现在看完第二部马上就打分了。我很喜欢电影表达的内核“生于野草，成为雄狮”！总之不要被外界的声音所影响，好不好看只有自己看过才知道。很庆幸24年的我看到了雄狮少年2,江苏
非常值得看的一部作品,无法获取
非常值得看，立意特别好,河南
太好看了，生于野草，活成雄狮、,江苏
超级燃！阿娟帅爆了！真诚、勇敢、不屈、顽强、热烈，这就是少年应有的姿态！,江苏
超好看 传承文化底蕴 这个满分给了 加上插曲 故事感拉满,湖南
非常好看，剧情不拖沓，画质非常棒，有燃点有泪点，全程无尿点。,山东
从来没写过观后评论，但是这部电影真的让我震撼到了，我觉得他值得，就像名字一样，像雄狮一样，冲击到了我的灵魂，国漫崛起了！,四川
