comment,ip
一般不评论，除非很喜欢。准备二刷,云南
画面质感太真实了，细节拉满！剧情感人，非常励志！传统功夫动作超炫！是一部非常棒的动漫电影，我要给满分！,广东
剧情丰富曲折，价值观积极向上，幽默风趣，但又贴近现实揭示底层人民的生活苦楚，令人心酸叹惋，人物刻画鲜活，是一部老少皆宜的动画，强烈推荐！,上海
电影故事很好，拍的也很不错。自信的中国风就应该不在乎眼睛的诋毁。,江苏
绝！真的值得！,北京
剧情还可以，画面质感很写实，主要是不知道那些说唱的插曲歌名是什么这里给一颗星差评,江西
好看，跟第一部一样有质量，唯一不满意的地方就是主角系列人物太丑了，连普通人都算不上。,广东
真的是一部很好的国漫，清者自清。“拳馆还在，家还在”。我也会守住我的“真理拳馆”，我们都是雄狮少年,浙江
"三年前在无意随便点开第一部，被惊艳到了
今晚看了确实很好看，很写实
在大城市机会虽然多，但是更多了
就像电影里的，没钱吃饭交房租
人可以什么都不争，但一定要争口气啊",广东
近几年最好看的国产动漫电影,湖南
超级 超级 好看，1没大火就很可惜，2真的是直入人心，中华名族的文化魅力，看过才知道,陕西
这片子是真好，比第一部还要好，看的人热血沸腾的，就是可惜了这个票房成绩，就不明白为何这一系列都是叫好不叫座。,北京
非常好看，和孩子看的，很燃，宣扬我国传统文化,青海
"🌟 推荐
雄狮少年2真的是国产动画片的经典之作～！看了第一部就很喜欢～出二部也必须安排～
🌅 画面
画面好写实～画的很生动
🎉闪光点
非常励志！没有假大空，也比较符合现实逻辑～",湖南
超越第一部的存在。画面华丽节奏紧凑，价值观正能量！看完浑身有力！,广东
一家三口去看的，很有情怀，期待续集！美术  动作  画面没得说，真不错,湖北
扎实，好看，良心,广东
真的好好看！！！😭😭😭看一的时候还是初一老师放给我们看的，当时就被震撼到了！！！看二的时候哭了好多次，故事真的非常细腻非常棒！,江苏
"真的很好看，完全不输第一部！不要因为轻飘飘的两个子就让好东西埋没！究竟是RH还是弘扬中国文化，清者自清！
只喜欢看卡姿兰大眼睛的还是去看天线宝宝吧，这么有深度的剧情你们也看不懂！",广东
