comment,ip
喜欢就行我爱看 还有片尾无名的人爆灯,山东
励志电影，动画效果不错。,广东
无敌了，超级好看,河南
还没看，我觉得第一部真的很好，你们是看到的追求梦想，还是励志，我觉得第一部是写的平凡人的不甘，对命运的不屈服，***的，我就是不服,山东
至少两处泪点，情节还不错，推荐推荐,贵州
这段时间终于有部可以洗洗眼的电影了，棒,江苏
好看的，但是为什么要咪咪眼,广东
爆好看，最好看的国漫,河北
非常好，值得一看,四川
不会那么多赞赏的话 好看是真的好看 心中有一团火 就一定别错过,吉林
今年看过最好的电影，没有之一,江苏
雄狮少年非常期待，很推荐大家观看,广东
剧情和画面都特不错，音乐也是🎉,陕西
#雄狮少年2#很励志的动画电影，虽然没有看过1但并不影响2的观感，🌅 画面很精美，影院超赞的，给力,内蒙古
太豪康了👍👍,广西
太燃了，不过我为啥挺同情肖张扬的，其实他不作弊应该也是最厉害的。,河北
我也是半路被女朋友安利开始看国漫电影的，不得不说，国漫电影真的崛起了，从白蛇青蛇哪吒到现在的雄狮少年1和2，真的颠覆了我对国漫的认知，真的太好看了，最关键的是我最后还在等彩蛋结果啥也没有哈哈哈哈，中间的激昂说唱和最后无名的人歌曲成了鲜明对比，看完只能说不枉此行！！！,山东
"第一部看了5遍，等了3年等来了第二部，我们都是阿娟，我们也都是野草，但我们在哪儿都可以扎根，在这个城市我们是无声的背景，所以不能忘记曾经泪流满面的我们所发出的誓言。
很多人跟风，没看过电影，却诋毁电影，这部影片，从舞美、人物性格、推崇理念都是清晰可见，好电影值得更多人看到，我会再二刷",云南
