comment,ip
#电影雄狮少年2# 相比于第一部感觉更加进步了 尤其是白玉兰变成木棉花那里真的太震撼了 大家都去看啊！,四川
仰天大笑出门去，我辈岂是蓬蒿人，这句话给我整泪目了，希望每个人都能找到自己的热爱，活成自己喜欢的样子，永不言弃。推荐大家都去看！！,广东
好看[强]国产动画电影越来越棒了！热血，超燃[拳头],北京
"说是国漫技术力天花板不为过，剧情比较完整，挑不出大毛病，技术力更是国际水平，看得出团队是在认真进行艺术创作，本身1的品质我也觉得不错，2是更明显的进步，同作为创作者，深深敬佩导演团队！

以及针对于1莫名其妙的舆论抹黑，我认为2给到了强有力的回复，也是本片爽点之一。你可以不喜欢奋斗题材，你可以不喜欢草根英雄的剧情，但是你说rh，那我只能说脑科医生救不了你，看过片子再来哔哔🥱。",四川
雄狮少年2这部电影的打击感和动感都很强，配乐和音效的巧妙运用也为影片增色不少，还巧妙地融入了传统武术元素，让文化传承为影片增添深刻的文化内涵。虽然在剧情设计上有些保守，但在视觉效果、情感表达和文化传承方面都表现出，值得一看。#雄狮少年2#,江苏
剧情很燃很好看，看第一部的时候是偶然在电视上看的看的老泪纵横，心想这么好的电影怎么没看的什么宣传，二部特意去电影院看，也非常好看，推荐！！！可惜为啥电影院没啥人，这剧应该是满座才对！,四川
我看到了一头雄狮,广东
很好看，格斗场面很精彩,辽宁
非常好看，画面画风比起第一部有了大提升，有时候都分不清这是动画还是真人。剧情非常好，跌宕起伏，阿娟的身材刻画也符合实际。赞,北京
如果1我给95分那么2就是120分！！！！！！！不管是动作流畅性，剧情连贯性，音乐渲染，动画渲染，剧本设置，我都可以给满分的程度，(´；ω；｀)我能感受到动画组对细节要求的注重，真是真心热爱真心想要弘扬中华文化的人才能做出来的好作品！！！！与一味的学习迪士尼的仿品有鲜明的差别,浙江
"剧情是符合现实生活的，画风写实的，为亲人生活幸苦奔波奋斗，对于困境也是咬牙坚持前进，对于恶意中伤秉持初心并且保持乐观心态向前挺进；

非常好看，还想二刷；
🌟 推荐
阿娟身材真好，哈哈哈",安徽
真的很好看，今年看到最好的电影，主角武力值爆表，成长的历程，生活的艰辛，人性，都展现的很好,上海
#电影雄狮少年2#和第一部一样燃，舞狮的阿娟站上格斗的舞台，再一次和小伙伴一起通过努力证明自己，有笑点也有泪点很励志，适合全年龄段的朋友们观看，好评！！！,安徽
超级好的电影，强力推荐！！！,山东
我为我看到国漫史上的神作而幸福。为诋毁而没看过的黑子感到遗憾。,上海
"#电影雄狮少年#
🌟 推荐 推荐观看 剧情什么的都挺好的，很喜欢，特别励志，不畏艰辛奋斗从病猫变为雄狮，走出电影院的时候都还在回味",云南
很棒，虽然故事是老套的励志片，但是画质真的一流。动作也很流畅，可以看出是有一定的武指功底的，很少看了想二刷的电影,广东
#电影雄狮少年2#没看过第一部，偶然看的这部电影，动画做的还挺好的，故事很励志很燃，而且插曲也挺好听的。,湖北
这部动画太棒了,浙江
挺好看的，极力推荐,上海
1  2都是在电影院看的，个人认为算得上国产最好的动漫。,云南
国产动画崛起,广东
很好看很燃  不知道那些喷外表的人怎么想的，中国人不就是单眼皮吗，无语,江苏
超级好看，阿娟打拳太燃了🥊不与夏虫语冰，不与傻瓜论长短，好作品就是好作品,江苏
电影整体节奏很好，隐喻很多。，还隐藏了不少的彩蛋！大人和孩子都能看的电影。 每个少年内心都有一头雄狮！ 大导演，值得的片子。 推荐大家去看！我们的国漫已经崛起了！,福建
很好看！！！,甘肃
剧情很好  画面很棒  动作非常流畅看的很激动 热血 ,河南
只要有梦想，就要努力地实现它，这也许就是舞狮的精神吧！我们都是阿娟，在繁忙的生活当中，都没有放弃梦想，凡人变成自己的英雄。主人公的梦想，曾遥不可及，可当它因为他的努力终于触手可及时，生存又让他必须放弃。主人公决心告别舞狮前，在天台最后一舞。舞狮结束，他内心响起舞狮的鼓点，激活一切澎湃，镜头给到成群结队进入电子厂的普通人，那一刻他们仿佛也听到了鼓声，这是属于所有小人物自我的救赎。,四川
画面太美了，动作干净利落极了，故事情节优秀。,广东
第二部各方面都比第一部升级，地点也从岭南转移到上海，从传统舞狮比赛变成了传统武术比赛，更加体现了中华民族优良传统。整体很流畅，很励志，很好看。,福建
最近没啥大片，但是这个动画片还是让我眼前一亮，制作很精良#电影雄狮少年2#,江苏
电影《雄狮少年2》延续上一部的剧情，雄狮少年站在人生的新擂台上，挑战的是深藏于格斗行业的黑幕与不公，为自己，也为多年来被格斗行业瞧不起的传统武术争一口气，过程中遭遇了种种的困难与抹黑。但偏见永远无法杀死一头真正的雄狮。他还是三年前那个坚韧如野草般生长的少年，雄狮在心底发出咆哮，梦想与友情激励着他去追寻心中的那团火焰，真正诠释了那句：生于野草，不屈平凡。,无法获取
"说唱太毁了
画面很好，有些时候真的很像现实中
配乐能不能认真点",山东
力推，非常棒,浙江
还是很好看的，动画很逼真，很热血，大人小孩都适合看，合家欢的片子，直接冲进电影院就行了,江苏
《雄狮少年2》绝对是一部值得一看的卡通电影！这部电影延续了第一部的精彩，同时在剧情、画面、动作设计等方面都实现了全面的升级。,湖南
#电影雄狮少年2#电影展现的画面质感非常好，看起来很真实，尤其是打戏的情节，人物刻画也很细腻，整部影片给人的感染力很强，剧情跌宕起伏，很有带入感，配乐也恰到好处，非常燃,湖南
从小时候看的大头儿子小头爸爸，熊出没，到现在的雄狮少年，国产动漫这几年带来太多惊喜，作为第二部，阿娟的逐梦之路，依然是虽然历经磨难，坎坷不断，但所谓过程曲折，结局还是完美的。,福建
画面特效超绝，剧情很燃，甚至不像在看动画片，五星推荐,湖南
好看哦，有泪点有燃点,江苏
值得带孩子去看,四川
已经看完，情节跌宕起伏，看得我和俩个孩子热血沸腾！氛围渲染一绝！打斗场面逼真，拳拳到肉，叙事不夸张，节奏不拖沓，是一部真正的国产好电影！,广东
很不错，很有教育意义，小孩很喜欢看电视，已经推荐给朋友了。,江苏
#电影雄狮少年2#从小时候看的喜羊羊与灰太狼、熊出没，到现在的哪吒，雄狮少年，国漫近些年带给了我们太多的惊喜，虽然起步较晚，但是不妨碍它的进步神速。雄狮少年，阿娟的逐梦之路，虽然历经磨难，但是结局总归是美好的。,内蒙古
非常难得的一部国产热血动画片，画风太棒了很写实制作团队很用心,山东
