comment,province
非常不错，全程笑点很多，孩子都看的很欢乐,福建
终于是以女性为主题开展的电影 女孩、少女和女人 每个阶段的女生都有各自面临的难题与困境 这部电影所传达的正是我想看到的 女生所需要的 女人拥有哭的权利 女人可以站在舞台上熠熠生辉也可以坐在台下当一个好的观众 她不是铁做的她可以在低谷时哭泣 颓废这是每个人生来就拥有的不值得别人去诟病 小叶因为家庭的创伤导致她爱情观的偏差这是很多女生面临的问题我宿舍有个女生之前抱着我哭问我她经常哭是不是很烦 在我看来不是的 女生的眼泪弥足珍贵 对身边事物有敏锐的感知能力是与生俱来的天赋 是上天的礼物 在她们是一个女儿、妈妈、朋友等身份之前 她们首先是个人 在中国女性议题从来不被重视 卫生巾、拐卖妇女等等丑闻层出不穷 可是这些作恶者从未受到制裁 更有女性为虎作伥 如影片里所展示的 王铁梅为女人发声 可是骂她的人里竟有大多数是女生 我猜测这才是让她难过的原因之一 但这也不能完全怪她们 她们在生活中被pua惯了 所输出的思想实际上是男权主义给她们输入的东西 也许多年后她们回看这件事 会发现当初自己的错误 最令我动容的还是王铁梅和小叶之前的感情 她们互相取暖 在这个女人难以立足的社会中挣出自己的一片天,浙江
我在一厅看的，坐的最里面靠边位置，隔音一点都不好，楼上KTV声音都听得见，体验感一点都不好,
没看明白，不推荐，都睡过一觉了,吉林
题材很新颖，剧中也有笑点，所要反映的内容跟思想值得深思,山西
看不懂 太烂了,辽宁
挺好吧，还行吧,
值得一看  无需多言,
值得推荐，谢谢🙏,浙江
"低俗~~
演技在线~
剧情烂得痕😡",吉林
《好东西》，好东西,
电影好好看，不错,
很好看，很有立意，很值得深思，语言台词很幽默，演员的演技没有一个**的，特别是钟楚曦、宋佳演的非常好。,贵州
很好看的，剧情不错,四川
情绪价值拉的很好，很不错，值得推荐,山东
艺术成分很高，没有真正的对与错,
台词bu cuo,云南
不同的人他的价值观，人生理想都不一样，这片角度太小众了，并不是普遍适合大众，豆瓣9.1的分在个人看来虚高了。,浙江
剧情很真实，很好看，很能共情,河南
好看，很搞笑。,
好看挺好笑的,江苏
垃圾电影 分数买来的吧,江苏
还不错的吧哈,浙江
好看的画质有一点低,
好看死了 特别治愈,河南
值得一看 像是冬天里暖暖的太阳 看完感觉更爱自己了,山东
能住在上海确实比98％的大陆人要幸运了哈，虽然我也知道上海也不全是这么光鲜亮丽的，不是所以上海人都是能喝咖啡的小资，但最起码公众能享受到的娱乐文化精神方面的生活不是其他城市能比的。不说上海，就算是在我的老家和广州，看电影的观感质量就完全不一样。喜欢电影音乐的文艺青年千万不要随便放弃在大城市的生活执包袱回老家。,广东
又哭又笑，后劲太大了。大多女性在成长过程中被刺痛，然后又在其他人身上得到治愈或者是被自己治愈。词写得太好了，场景里一些细节非常有小巧思，强烈推荐去看啊啊啊啊,
什么**电影？传播是什么价值观念！如果这个社会都像电影一样这个社会就是不正常！,
剧情有趣，演员全程很有代入感,山东
有点故意打拳的嫌疑，有点故意贬低男性了，感觉里面就没一个正派的男性形象，搞男女对立；抛开上一点不谈，总体感官体验上来说还是挺有意思,重庆
拒绝对立，恋爱脑不是值得骄傲的事，所有事都比异性重要！,重庆
非常好看，值得再刷好几遍,
"宋佳就是美！
节奏对白都太棒了！",福建
超烂超烂 看过最烂的电影,河南
"🌟 推荐
比跟预想中的一样，第一次看这种题材的电影，全片真的爆笑，也有泪点，攒攒攒",重庆
虽然说没看懂但是还是值得肯定每一个人,
电影说不上好看，但是题材比较新吧，以单亲妈妈为题，揭露了现代女性的不易和妈妈的不容易，教育意义比较好，还是比较值得看的。,四川
很好看，超级超级好看,山西
"值得看
真的值得看",陕西
一点都不好笑,
剧情很好，搞笑又有深度，值得推荐👍,河南
挺好的题材。,江苏
剧情太水，以标榜女性自由独立为核心主题，没有男人一样过的好，但没有深度只停留于台词表面，描写女性都很清醒，但是男性都是傻X，想开男性玩笑但有一种不知道男性是什么物种一样的陌生感，适合少众的女性群众观看（如果你小时候家庭不和睦，缺少关爱，向往独立自主可以看）任何男性不推荐观看，因为通过男性会看的云里雾里，不知道在说些什么,河南
演的好，能让人笑出声。,
真好看包真的,河南
可以退一半吗？,江苏
是个不错的电影。,广东
作为一部女性向的影片，在看完之后我就预料到了一定会被很多男生喷，但是这也不可否认这是一部好影片，且具有不错的教育意义。很佩服女主洒脱的性格和教育孩子的方式。配角们也很写实。整体风格是搞笑而温馨的,
很好看，比想象中的好看多了，还有点搞笑，不强行玩梗，不强行煽情，都恰到好处,江苏
思想开放一点的可以去看，还不错,安徽
还可以 一般般,湖南
"剧情完美，值得一看
",
非常好！台词写的特别有趣！有笑有泪，看到我了的影子，也看到无数女人的影子。我和朋友都觉得好看！,辽宁
剧情好看，也搞笑,河北
