comment,province
#电影好东西#如果能让你开心，那就是好东西。2024最好看的电影没有之一,浙江
好东西我的评分：#电影好东西#好东西一个字就可以概括：好👏👏从今天开始要做一个正直善良勇敢有阅读量的无孩爱猫女看完电影出来背也不驼了，皮都展开了，会停不下来地思考，共鸣，然后完成从内而外地自我救赎。终于有一天，女人当了主角时男人可以没有姓名甚至只是个身份代号，终于有一天月经就是月经，终于有一天撒尿男可以夹针而逃！！这个时代会不会更好我真的不敢去想，但是感谢勇敢的姑娘们，我们回不去啦哈哈哈！！！,云南
#电影好东西#《好东西》绝对是我近几年看过最好看的电影！没有之一！女导演在女性视角下拍出来的仙品！宋佳和钟楚曦真的都好美！美到我一直在感叹！还有小妹妹真的和梅婷老师长得一模一样！架子鼓也是我一直以来想要学的东西，虽然目前还没付诸实践，等我明年上了班一定要培养自己的爱好！这部电影很多点都太戳我了，所以结束之后我还沉浸在一些情绪当中，想要更多的去深思思考人生，这才是一部很好很有深度的作品，看它的时候我毫无压力，全程在笑，这部电影的笑点一点也不俗套，给人一种全新的体验，让人在过程中很享受，结束之后又会有很多的感悟，总之它是我第一次在电影院看完一部电影之后还想二刷的电影，甚至可以排在我这里排top1了！,河北
#电影好东西#下午得空去看了最近大受好评的《好东西》看得我是又哭又笑我想说真不错好笑的地方真好笑好哭的地方也是眼泪一下子就出来了第一个戳中泪点的地方就是茉莉对小叶说：我喜欢你的眼睛喜欢你看着我你怎么看我都行小叶哭了因为小叶的妈妈遭受丈夫的家暴转而把这份怨恨放到小叶身上嫌弃小叶的眼睛大得瘆人因为自己也这样被丈夫嫌弃…茉莉在这部戏有很多金句比如：我正直勇敢有阅读量还有就是一眼就看出是梅婷的女儿真的太像了钟楚曦真的好漂亮！身材瘦长还有肌肉这体脂率得多低得多自律！我好喜欢宋佳的长相很耐看很大气再加上身材骨架一衬托真的好飒！非常适合西装造型这部戏真的太多可说道的了太多经典台词了都去影院看吧！,江苏
也许从小到大活的太像个大人，所以才会真正想要，做个小孩儿，就做个小孩儿吧。#电影好东西#,贵州
好东西我的评分：#电影好东西#电影院里女孩子很多，笑声没断过，又好笑又催泪。最喜欢的两句台词：世界上有一半的人都会流血啊。礼貌不会破坏气氛，不礼貌才会破坏气氛。,广东
#电影好东西#好喜欢！！！！！！这个世界差评，但我的好朋友满分！！！！,湖北
#小许剧评##电影好东西#看了好东西，我只能说我真的看到了好东西一些让我看完幸福的快乐的东西看的过程中流了很多次眼泪，有心疼的有共情的还有很多感觉到美好的这部电影又日常，但是又美好的不像日常走出电影院感觉就像做了个梦香甜的美好的-整部电影中，我看到了很多次我自己铁梅身上什么都要做好的完美主义，小叶对恋爱和被爱的渴望…这些特质以前我一直内心在隐隐的抵触，优绩主义、恋爱脑…但是看完，我好像至少在这一刹那这一晚又能和自己和解了-曾经我真的陷入过迷思。我是不是应该封心锁爱，努力工作成为大女主才是不给女人丢脸？女人谈恋爱是不是就一定会失去主体性，女人在恋爱中只要付出多了是不是就不够女权。看完突然感觉，以前的我狭隘了。我常常反而会把自己规定在框架内，给自己设定做什么是好东西。但是只要开心，那不就是好东西了吗？原来茉莉最后也可以不喜欢打鼓！该解放的不仅仅是女性，也是男性，也是每一个人。-大家都说猜声音那一段特别动人。我也被打动了。联想到前几天，我买好电影票，从早上就激动的和妈妈分享电影宣传片，邵导的播客。妈妈一直没回复，然后晚上才说整理了一天家。一下子就和这段重合了，好像每个人总有个小小的世界是妈妈构成的。-好东西真的是一个很轻松的东西。没有苦大仇深，没有绝对对立，没有说教道理。-邵导真的太细腻了，把上海拍的那么美，那么自由，那么惬意，把所有角色都拍的太可爱了！感谢邵导！-有趣的是，离开电影院，听到两个男人在讨论“天哪！你看不出来吗！这是在夸张的处理雄竞啊！多么巧妙！”-一下子想说的话太多零零碎碎啰啰嗦嗦写了这么多最后想说喜欢好东西感谢好东西,上海
好东西我的评分：#电影好东西#温暖，浪漫，有力量。,广东
太好看啦啊啊啊啊啊宋佳和钟楚曦把日子过好比什么都重要！！！！！狠狠懂了每一个点在影院笑破天花板#好东西##电影好东西#,四川
“正是因为我们足够乐观和自信，才可以直面悲观”#电影好东西#,广东
#电影好东西#窥探到邵艺辉导演天才大脑的一隅，她洒落的星辉就好像是灵魂的碎片，捡起来的瞬间就感受到灵魂的共振。说回人话，其实在15岁以后，我对育儿以及母女关系的理想构思几乎找不到任何现实的照应，唯一的支点就是看到一些在非传统性别叙事下组建的家庭，或通过领养，或通过spermbank，拥有一段纯粹由爱启发，也传递爱的亲子关系，和伴侣成为真正意义上的攻守同盟。《好东西》这部电影提供了非常精彩的人物模范，在前夫哥所说的“结构性问题”压迫下，两个不同背景的女性不通过性缘关系依然能够找到彼此，看见彼此，正直勇敢有阅读量，共同育儿，做生活的主人，太了不起了，但是又太自然了。本来宋佳一直在我“如果想要成为一个女演员就想变成ta”的list上不太靠前的位置，但是今年两部戏看下来（另一部是山花烂漫时），我觉得我已经没办法不把她排在心中第一位了，她一定是会让前辈影后都歆羡的存在。当然这部戏的其他演员都会让我眼前一亮，比如钟楚曦扮演的小叶身上的“讨好”属性和恰到好处的台词节奏，赵又廷扮演的前夫哥一口标准的普通话和浑然天成的喜剧气质，小孩曾慕梅完全不矫揉造作的表演方式。总之，感谢邵艺辉导演，感谢与《好东西》的相遇。#没有及早爱上宋佳简直是一种罪过#,上海
#电影好东西#特别好！好东西真是好东西，值得每一个人走进电影院，感受快乐，感受人性，感受女人，男人和小孩。,上海
#电影好东西#一句话，好看我文采有限找不到说的了,四川
好看特别好看都给我去看好吗#电影好东西#千言万语汇聚成一句好看,福建
等#电影好东西#流媒上线后我要再猛猛二刷,陕西
国产电影有救了#电影好东西#,新疆
