comment,province
太多人物关系了。你想看的原生家庭有的，蕾丝（哪怕是假的）有的，fwb有的，姐弟恋有的，雄竞有的，新社会母女关系有的，乐队（小团体）有的……还有我漏掉的关系吗？真是又新潮又接地气！记下半年第一回进电影院。#电影好东西#,重庆
血又不是屎，怎么会是脏东西呢#电影好东西#,上海
让自己快乐才是好东西#电影好东西#,广东
好东西我的评分：#电影好东西#好特别好平常好温暖好东西,浙江
#电影好东西#,山西
#电影好东西#我老公看的呵呵直乐，我看到最后简直暴哭。从小孩到恋爱脑再到王铁梅，每一个人身上，都看得到自己的影子。,北京
#电影好东西#是我今年看过最好看的一部电影啊啊啊啊啊啊啊啊啊啊值得N刷,湖南
《好东西》特别特别特别让我触动的几个地方：一是声音采样那里，海豚跳进大海的声音转场为番茄落入水槽的声音；还有在地铁上睡着，女生把女主拉过来靠着她的肩膀那里，瞬间让我想起《十点半的地铁》；还有最后一幕小孩说到这是她出生那年她妈妈写的文章，原来她才是把她妈妈写的文章全部看完的那一个！啊啊啊啊哈特软软🥹最喜欢的，是小孩在表演完之后最后写的作文，好像也解答了我多年以来的困惑。因为从小到大我都特别讨厌自我介绍的时候说自己的爱好，就连现在我都不知道自己爱好什么擅长什么，想做什么工作。这部电影给了我一些答案，何必费劲思考自己喜欢什么，也不必逼自己去擅长做什么，活在当下，享受当下，多多尝试，没做好准备可以下次再做，要为做自己而存在啊。久违的让我有一种自在的很轻松的感觉，轻盈浪漫有力量，好好的《好东西》！#电影好东西#,浙江
#电影好东西#二刷完成！,广东
去看了好东西嘿嘿确实好东西#电影好东西#,江苏
#电影好东西#真的好看结束了在电影院椅子上缓了半天根本没看够心目中仅次于云村小卖部,山东
#宋佳#看完好东西再次爱上宋佳#电影好东西#好看都去看,河南
正是因为我们足够乐观和自信，才可以直面悲剧#电影好东西##+1‘slife#,江苏
突然发现好像每张票根上都有一句电影台词🙊#电影好东西#,广西
#电影好东西#怎么才算好，到底谁是裁判，搞砸了又能砸到哪里去。,广东
好东西我的评分：#电影好东西#这个电影是个好东西,山东
