comment,province
前几天在局门路路边看到一家炸鸡咖啡店，听说是电影好东西的取景地，今天晚上溜达着去看了这部电影。不愧是众人推啊！真的很好看！一直都不喜欢把女性苦难化，什么被渣男渣离婚养娃太凄惨年龄大被职场歧视这种俗套剧情。电影里面三个不同年龄段的女性都又酷又飒。就像我们日常生活一样，虽然每个人都有小问题，但是又都在积极的生活着。铁梅和小叶还有小孩真的是彼此之间的救赎，女孩子们的感情真的只有女生能懂吧。最喜欢里面的一句话是：我拒绝绑架，所以相对自由！希望你我永远能大大方方做最真实的自己。#电影好东西#,上海
#电影好东西#跟室友约了一周的电影，今天终于看上了。,江西
#电影好东西#一直觉得不管女性主义电影拍的肤浅或深刻只要国内有女导演去拍去呈现女性主义咱们都应该去支持一下《好东西》整体轻松中又把很多女性主义基本观点串联进去真的让人很容易看进去虽然不深刻（拍深刻了在现今国内大环境也上映不了）但是可以作为很多人对女性主义的入门了解越支持越捧场这种类似电影将会有越来越多这样的女性主义导演和女性主义电影出现大环境多少也会改变一些但！觉醒女性意识第一步就应该把辱女脏话口头禅给戒掉无意讲出来也该给自己一巴掌永远切记不能再遵循父权结构下的辱女词汇,北京
#电影好东西#前面还行，像经典小品，后面乏味，让人打瞌睡。让九岁的小孩和三个脑回路不太正常的成年男人念一些女权台词，未免太刻意了，而且九岁的小孩不应该这么早熟，女主反复体验脏东西然后说自己是个好东西，女人不是玩物，男人也不是工具，男女对立只有坏处没有好处，这个世界少了男人也不会变得多美好，拿性别说事情真的太绝对了，只要是人，就会有败类，男女都会有，大部分女性观众的爽感都来源于剧情里贬低男性，如果你想做个独立女性，那么就请独立到底，别轻易爱上男性，又当又立真的很自讨没趣，整体是一个带有破碎感的故事，什么都想讲一讲，但细节上没有展开说明，归根结底这是社会原因，只有在好人的世界里才能看到好东西。,湖北
刚推荐张春[阿卡纳]的豆瓣动态：#电影好东西#里面，小叶给小孩放声音素材，小孩戴着耳机一边听一边猜：泥石流、龙卷风、海豚跃出水面……其实都是妈妈做家务的声音：掰开菜心、修水管、橘子滚下楼梯、抖衣服……小叶开心地边笑边给小孩播放。哇，我的泪瞬间流了满脸。我想，小叶举着收音的麦克跟在铁梅身边，她怀着怎样的深情在看铁梅呢？她温柔地看着她温柔地操持家务，而孩子听到这些温柔的声音，闭上眼睛，心里温柔地升起江河湖海，宇宙万物。当她知道答案的时候将会多么雀跃！妈妈好了不起！而好朋友小叶是个巫师！王茉莉这一生看到那些平凡的景象，都会想起这个魔法般的下午，想起这些瑰丽又真实的爱。《小王子》里的狐狸说：每当我看到金色的麦浪，就想起你金黄的头发，我就开始期待。而小孩看到松涛阵阵会想起妈妈淘米洗菜，看到妈妈擦地封快递，也有可能想到更远的风景。世界不是黑箱，它被坚实的爱和灵巧的心连接着。铁梅也会因为被小叶这样看见而感受到自己的双手一点点琐碎建造的生活是这样不凡。不凡到值得被精心采录下来，镶嵌到耳朵里，就像珠宝被镶嵌到金子中，就像花被叶子捧在手心。小叶那么好，每个人都应该爱她，不爱就是脑子有问题！（写着写着又哭了）而我们看过这个片段的观众，也会在庸常的生活里，偶尔想起“其实这很像一阵风”吧。也会因为这样的想象被如此这般描述，而存进自己的脑海，成为自己的一种体验，浪漫、温柔、爱意…这些词条得到了新的拓展。这就是创造者的能力，而我们普通人就享用这些创造。小孩说得对，做观众真的很好呀！来自@豆瓣AppO网页链接,浙江
#电影好东西#电影真的好好看：允许自己搞砸一些事情不必什么都做好,山东
好看好看推荐推荐#电影好东西#,北京
#电影好东西#年底最爱电影！,陕西
#好东西##电影好东西#看完电影好想生个自己的小孩啊。这个也不算讲男女对立的电影吧，现实生活中男女之间挺相互尊重的。无论如何这个电影拍的不错，幽默、流畅、有力量感！宋佳很飒，钟楚曦很美！最喜欢那句台词：“正是因为我们足够乐观和自信，才能直面悲剧。”让我想起来去年某人给我说的一句话：正因为你有能力跨越，这个考验才会降临。给自己鼓鼓劲，好好修复自己的小心灵。,河南
好东西真是好东西#电影好东西#,福建
#电影好东西#特别特别好看！,江苏
好看#电影好东西#,浙江
有被《好东西》治愈到#生活手记##日常碎碎念##电影好东西#,湖北
#电影好东西##宋佳人想得太多反而难成事#偷狗辣偷狗辣🐕@宋佳,广东
“正是因为我们足够乐观和自信，所以才可以直面悲剧”真正的乐观并不是无视那些不好的东西存在，而是直面过世间百态后仍然相信美好的存在。“好”并不是一种定义，而是一种无拘无束下生长出的令人渴望并追逐的美好。真的会被电影在幽默中传递的温暖和女性力量打动着。#电影好东西#,江西
#电影好东西#我也终于有空吃上好东西了！果然是好东西啊真好吃😋看完心里暖暖的都可以顶着夜风走路回家🥺,北京
#电影好东西#怎么才算好呢裁判是谁呢,重庆
#电影好东西#今天晚上看电影之前我过得非常不好，看完电影后开心了,福建
#电影好东西#电影的最后茉莉不敢上台躲在柜子里，有一个镜头是从柜子里向外拍的，就好像我也躲在柜子里，铁梅妈妈在鼓励我一样。我不必事事都好，搞砸了又怎样呢？《好东西》真的是年度最佳！好看！,河北
#电影好东西#🎦好看好看推荐！,辽宁
#电影好东西#,广东
#电影好东西#,陕西
好东西真是好东西#电影好东西#,湖南
当我看到《看不见的女性》这本书，被电影主创团队作为礼物抽奖时，难以名状的感动🥹，很难不安利#电影好东西#安利几本很适合入门女性主义的书，作为这个星球上被讨论的最多的性别，我们当然得了解自己的处境借用电影台词「我正直勇敢有阅读量，有什么可怜的」，都去看吧，去被拥抱🫂两小时,海南
好东西我的评分：#电影好东西#有意思看的很舒服,浙江
#电影好东西#我喜欢王茉莉和小叶玩辨声音时配的画面的这种电影手法。我喜欢地铁女士把王铁梅的头拉靠回来的画面。我喜欢饭桌上讨论的自然氛围，吃完饭出来跑去拉肚子很搞笑。赵又廷在电影中就是充当搞笑的，但是难以想象如果现实中真的遇见这种人😖宋佳真的好有魅力！真正看过王铁梅所有报道的人是王茉莉题外话：王茉莉和梅婷好像啊，特别是眼睛👀（我没求证过，但是知道梅婷女儿有演过电影。赌一把！我觉得王茉莉就是梅婷的孩子）,广东
通往新世界的门票，get#电影好东西#,湖北
#电影好东西#是好东西，推荐,浙江
好久没看到这么细腻的电影了，很好看。内心没那么大的戾气的时候很多地方能哈哈大笑。最近比较丧，白天还说没什么好期待的，晚上看了觉得还是期待下吧果然现代社会大家的烦恼都差不多啊ps：男女主都还挺有性张力的#电影好东西#,浙江
#电影好东西#超绝电影治愈我,辽宁
