comment,province
#电影好东西#周五的夜晚被姐妹、麦当劳、现炒板栗、惊喜电影院和近期最佳电影治愈～,安徽
好好重养内心的小孩儿.#宋佳##电影好东西#,福建
已经很久没有激动过了好东西真的是好东西太好的一部影片了感觉总要写点什么一定会二刷三刷的看的时候脑子里就很丰富了兴奋肾上腺素飙升n年撂下的笔这次终于想拿起来了想着再刷几次之后把细节补充把记录完善今天和妈妈一起看的她也非常喜欢里面的梗啊节奏啊都非常的恰到好处我们都很享受结束后一直在跟我说今天太开心能看到这部电影她好喜欢想跟全世界推荐这部作品有点语无伦次了简单表达一下此刻的心情从影院出来一直不能平静太喜欢了真的是很幸运能观看到这么好的作品希望有机会蹲到路演和主创们一起交流希望多多排片我再多刷几次🎬#电影好东西今日上映##电影好东西#@电影好东西,黑龙江
#电影好东西#没写过影评也没有二刷过任何一部电影，《好东西》打破了两个我的第一次。第一遍看的时候需要记住剧情，没有那么多时间来深入思考。二刷完我对电影的体会更深刻了，有了很多想说的，所以对我来说好东西越看越好看。感性地谈一谈，这部电影对我真的是一个很大的抚慰，看完就好像被拥抱了，不想从这两小时里走出来。看完感觉内心是沉静的，温暖的，又是有力量有希望的。以前从来没觉得一部电影作品能够真切地给身心带来影响，这种影响是真正的深入内里的，而不只是随着剧情产生的喜怒哀乐。我们看的发自内心的笑了，哭了。电影是铁梅小叶小孩儿的故事，可我看完总感觉好像不只是看了一个别人的故事。我觉得，我会把这部电影存下来。在未来的某个午后，某个被焦虑、压力困住的日子里，打开这部电影，再看一次，再大笑一场，再次获得让生活变好的信心。能让你快乐的，就是好东西。,江苏
女孩子们，请你们快乐的活❤️！！！不喜欢可以拒绝搞砸了就搞砸了害怕是不用感到羞耻的想爱就爱真诚勇敢有阅读量#电影好东西#看这部电影的两小时真的是享受隔着屏幕都能感觉到女孩子有多好被关怀被理解女性有力量也有有爱人的天赋,湖南
#电影好东西#三个主要女性角色都各自在大放异彩我感觉她们仨总有人会拿奖诶全片最喜欢的一个片段小孩听声音猜场景的那几分钟太有意思了是啊妈妈的世界原本就是整个世界太cool了这个设定还有一个part也超打动我小孩学习架子鼓正式登台后发现她原来不喜欢打架子鼓她觉得自己还是喜欢当观众小孩姐的心态是超神的respect！很多台词都非常有意思怪不得有评论说是脱口秀大合集的不过对比起爱情神话来说故事性确实差了那么一点点但是瑕不掩瑜无条件投降乐队的歌都好好听！！！就凭那几首歌在手机和iPad是完全感受不到这就是live的魅力电影的英文名herstory所以里面好多girlshelpgirls的瞬间太美好了一点小感受是啊我们总是花好长时间才能找到自己喜欢的东西或人？（可能也只是短暂性的）毕竟人是流动性的爱是这个世界更是一周上班的疲惫只有进入电影院的这两个小时让我能放松,贵州
真好啊周围所有看完《好东西》的女性朋友一出影院都好快乐脚步轻盈格外自在好想二刷#好东西##电影好东西##邵艺辉#,广东
上午还因为再见爱人生气又绝望，晚上看完《好东西》周身舒畅！借用小叶的一句台词，男人多好玩儿啊！希望全场仅有的四名男观众看完别破防，破防就不好玩啦#电影好东西#电影好东西超话,北京
#电影好东西今日上映##电影好东西#千万不要错过这个好东西妈呀我们邵导太牛了ps要来欣赏一下邵导的亲签吗,山西
好棒的电影#电影好东西#,辽宁
#电影好东西#国产电影的惊艳之作，非常好看。不止于喜剧，把爱情婚姻教育剖析得很细腻深入，视角别致有趣，看了之后你发现:玛德，这个世界的游戏如果不让我快乐，我就自己做个游戏规则来制造快乐！,北京
看完好东西，我现在充满了力量#电影好东西#,北京
好东西我的评分：#电影好东西#怎么样才是好，谁是裁判？我正直勇敢有阅读量，有什么可怜的？正是因为我们足够快乐和自信，我们才能直面悲剧。世界上一半的人都在流血。你怎么打鼓，女孩就怎么打鼓。好像是第一次被一部电影拥抱了，后劲好大，看完我会原谅全世界💧,广东
#电影好东西#2024年top，最感动的是电影院里都是女孩子去看，无数次开怀大笑的时候身边都是女孩子的笑声，很多点只有女人懂女人，女导演yyds,江苏
#杏师傅每日一看##电影好东西#《好东西》真的能让你开心！作为一个毫无阅片量的人，我已经能够确定这是我本年度最爱电影了，之前应该是《YoungWomanandtheSea》，但是《好东西》由于其绝强的散文叙事感以及丰富的情感层次略胜一筹！而且你非常明显能够感受到这是一个只有女性能够获得全部情感体验的电影，所有转瞬即逝的点我们全部能捕捉到的感觉真的太好了！以至于我迫切想让所有朋友都共享这种绝妙的观影体验，因为那就是我们的生活。它被看见，被挖掘，被聚焦，被共鸣，就像小叶给茉莉放各种声音，茉莉猜测声音是火山爆发，是泥石流，是电闪雷鸣，其实那是铁梅在方圆里创造生活的声音，是女性劳作的声音，宏大叙事逐渐无法再遮蔽它。好的电影让人能够获得长久的动力，是夸赞、是凝望、是拥抱，是我们振奋的心。真的很难概述它，只能说生活都因为了今晚看了《好东西》而明媚了许多！因为知道了有人在努力生活，有人在努力长大，有人顶住压力要开创我们自己的游戏，有人说我陪你。改变就是这样发生的。我们甚至被温柔告知，不必焦虑和害怕，如果没准备好，我们可以晚一点再面对。电影最后铁梅问茉莉，为啥要写我不再幻想啊？茉莉说我就是想写一个悲观的作文。铁梅说能不能多写点乐观的，茉莉回，正是因为我们足够乐观和自信，才可以直面悲剧。铁梅笑着说谁教你的，小孩说这是你报道里说的。铁梅说我咋不记得？小孩说，我出生那年你写的新闻。我的眼泪到这瞬间下来了，小马说我读过你所有的稿子，那都不算的。爱在蛛丝马迹里，爱在小孩儿身上，我们都可以是小孩儿，这就是我们的爱。,四川
【送票】抽8个小可爱，送《好东西》电影票宋佳、钟楚曦、曾慕梅、章宇领衔主演，11月22日今日起全国上映！如何获得？转发➕评论➕点赞本条微博，带话题#电影好东西#或者#电影好东西今日上映#，来评论区为电影和你喜欢的演员打call～本周六开奖！《好东西》剧情爱逞强的单亲妈妈王铁梅（宋佳饰）带小孩王茉莉（曾慕梅饰）搬到新家，结识了所谓清醒恋爱脑的邻居小叶（钟楚曦饰）。两位性格迥异的女性，一个坚强，一个柔软，一个擅长给人当妈，一个擅长随时撒谎。围绕王铁梅的两个男人，前夫（赵又廷饰）不时“添乱”，女儿的鼓手老师（章宇饰）似乎充满新的可能。作为已经觉醒的女人们和学习过性别议题的男人们，会遇到什么新问题？会如何看待自己和世界？《好东西》口碑—豆瓣9.1分—淘票票9.7分—猫眼9.6分—大V推荐度99%评论区第9名、第13名、第19名、第31名自动中奖！评论区走心留言中奖率更高。P.S.评论区排名统计按发评时间先后顺序排名，每个ID只计算1次，未带话题评论或只带话题评论均不计算排名。删评ID将被取消排名资格及中奖资格。想要更多专属福利❓升级铁粉🔜加入铁粉福利群🔜中国电影报的铁粉福利群L电影好东西的微博视频,
