comment,province
电影好东西超话#电影好东西#充满了导演邵艺辉的个人符号，比如艺辉实验学校、第二次出镜的小女孩玛雅和周野芒老师、索菲亚罗兰、还有邵导的老家山西。整部电影最让人喜欢的不是别人都在讨论的girlshelpgirls，而是全员毒舌尤其是两大一小三位女主角毒舌大爆发听着真让人过瘾！另外，还有从爱情神话开始邵导最拿手的就是餐桌戏，两场餐桌戏都是片中的小高潮。,上海
#电影好东西#好看，值得去电影院看。是与时俱进的女性故事，轻松愉悦且有表达。尤其里面的雄竞，很爽,上海
好东西超话#电影好东西#看完妈妈所有文章的是女儿。默默打开好几年都没用过的豆瓣，写五星评论还有给每个五星评论点赞的是我Thestory是我本命歌。,广东
美味蛋烘糕和杏岛干锅这个太阳差一点儿就出来了美美晚餐好姐妹交换吃@🍩今日份看电影学到的新词汇（我不是要judge你们）#电影好东西#太好看啦#昕情美丽#,四川
#电影好东西#挺好看的，很有《爱情神话》那味儿，生活就挺简单且复杂的，不用什么都满分，也不用太对立，就投入到生活的浪潮吧,上海
要鲜活，灿烂地去爱、去生活、去感受，无畏、无惧。#电影好东西#,湖南
降温前的欢乐还担心冻了我就不活跃没动力咁就……多谢你啊，二刷都陪我睇#电影好东西#果然，好东西真系好东西9.1分高分真不是虚的第一次系电影院被说教说得这么愉快我地都系委屈，哭泣，怀疑自己，治愈自己的过程中学着长大学着做人！论有一个爱阅读爱写作的女儿都好好喔再多谢你啊，好想好想试的牛肉粉，今晚一次过满足我两个愿望,广东
#小叶一哭我就想哭##钟楚曦一哭我就想哭#看#电影好东西#真的一次又一次被钟楚曦的哭戏感染到！电影里的小叶常常哭，为爱哭为不爱哭、为难过哭为感动哭。红红的眼眶和鼻头、时而是大颗大颗滑落的泪珠，时而是沉默着泪流满面，每一场哭戏都特别动人，让人忍不住跟着她一起流泪。（来源@笨蛋侦探）@钟楚曦钟楚曦超话L金熊猫剧场的微博视频,
最近看了#电影好东西#很生活化女性向#因果报应#即使最终恶有恶报但还是生理不适（如果最后一刻匪徒没发现受害者是自己女儿的话内心不会有丝毫忏悔）换了新鼠标但依然无法缓解鼠标手的症状卒,浙江
里面太多让人触动的点了吧要正直勇敢有阅读量#电影好东西#,浙江
好东西我的评分：#电影好东西#今年最佳,四川
