comment,province
如果能让你开心那就是好东西#电影好东西#,辽宁
#电影好东西#这好东西真是好东西啊（咋这么好看呢，两个小时的电影感觉就像十分钟一样，根本不够看啊，尼玛的，这样的电影我看死你！！！！！）,四川
#电影好东西#好看如果能让你开心那就是好东西,吉林
#电影好东西#记录下第一部三刷的电影网络上已经有很多精彩的点评了，我真诚的希望每个女生都能看一下能让女孩子开心的都是好东西,天津
#电影好东西#好看哦有笑有泪笑是因为有趣的梗蛮多的泪是隔壁姐妹流泪我递纸希望我们都继续好好爱自己爱彼此自由热烈现实又不失浪漫💕话说…今年好像看的电影比以往少很多准备把爱情神话回顾一遍晚安么么哒,浙江
特别好看！！！！！年度最佳！！！！#电影好东西#,湖南
#电影好东西#,广东
好东西我的评分：#电影好东西爆梗制造机##电影好东西##佳片奇遇季#今天洗了洗衣服，染了颜色不明显的头发，和了热热的柚子茶，吃了麦麦（到底有没有人记得麦辣鸡腿堡前段时间中间的那块肉变饼了，不知道啥时候又变回来了），又和🧊🧊宝贝去看了好东西，电影有很多好笑的地方，也有很多让我感动的点，宋佳真的是电影脸，好清透好喜欢,山东
#电影好东西#二刷了好看,山西
#电影好东西#因为我们足够乐观和自信才可以直面悲剧,湖北
90%荒诞&如果能让你开心那就是好东西#看电影##电影##电影好东西#,上海
#电影好东西的微博答案之书#电影《好东西》院线热映中，“好东西微博答案之书”活动同步上线，你是否时常对你的现状感到困惑？是否总是在思考快乐的答案？铁梅、小叶、茉莉……片中的他们有话对你说，点击【电影好东西的微博答案之书】翻开答案之书，去寻找闪耀的“好东西”！#电影好东西爆梗制造机##电影好东西#,山西
#电影好东西#近两年最好看的电影,湖南
《爱情神话》——在成年人冷静地分寸感下流淌着饱满又克制的暧昧说不明白的爱情那就不要说了自洽就好互愈也行。《好东西》——就像片中语文老师的评语一样“冷静幽默中透出一丝天真的伤感”在满分故事感地推动下拿捏住性别不对立原生家庭等话题举重若轻。看似有一分的荒诞实则是人生的参差。新规则的尖尖角正在发芽我们都希望最终走向是还原最初的真实与自由。邵艺辉YYDS#电影好东西#,安徽
如果说之前被女性主义扇巴掌，让我痛苦，那看#电影好东西#就像被摸摸头，让我……舒服？是一种女性心照不宣的默契感？还是被细腻表达的认同？有好多种情绪，但起码没那么痛苦了。最后，也想做一个酷女孩的妈妈。现在起码女孩我是拥有了，酷不酷Melmel就要努力啦！#melmel碎碎念#,广东
看完电影想买同款包了哈哈一个女人没有男人就像一条鱼没有自行车#电影好东西#太有意思了,湖南
我好想永远担心着假想的失败追寻着虚幻的成功可这就是游戏的规则那我们不玩他们的游戏了我想做一些我喜欢的事#电影好东西#Xhs摘抄📝,广东
#电影好东西#是好东西！,河南
男人说看过你过去的一切只是想跟你xx女儿才是真的看过你的所有过去#电影好东西#,河南
都给我去看《好东西》！！！！我的年度最佳电影#电影好东西#有笑有泪，里面人物的台词还有肢体语言和情感表达经常让我哈特软软真的演员演技，编剧功底，导演拍摄方式缺一不可！！！对我来说是一部很治愈的电影，小叶对王铁梅讲的一句“怎么才算是好呢？裁判是谁啊？”让我觉得从小一直在追逐父母或者师长的夸奖的我突然有点小小的释怀（不过我自个也知道也不能太不求上进了哈哈哈哈哈），小孩儿更别说了，句句经典，直击人心戳得我心软软心痛痛而且背景不是上海嘛，那些街景都很熟悉，好有代入感！！！该好笑的时候真的超级好笑，笑得我喘不过来直流眼泪，男性角色在里面也是承担了大部分笑点哈哈哈哈哈哈不过回来看有博主说有人觉得里面的角色很悬浮，不现实，是因为觉得王铁梅作为单亲妈妈太潇洒自由了，甚至是有点轻佻。不er、这样说的人不觉得似曾相识吗，里面有一部分剧情是不是照镜子了呀，哈哈哈！真讽刺啊，要我说这部电影多少也是一部现实主义题材作品,上海
#电影好东西#好！！！！！！！！！！,北京
今天看了#电影好东西#太好看啦👀#滥俗的歌#,山东
#电影好东西#@电影好东西电影《好东西》是个好东西!(好看，强推)能让你开心的，就是好东西!(看得很开心),河南
如果能让你开心那就是好东西足够乐观自信#电影好东西#,山东
女孩儿只有快乐才会美丽！#电影好东西#,河北
“你会变得更加不错！”#电影好东西的微博答案之书#📖翻开【电影好东西的微博答案之书】，你的答案近在眼前。无论何时，快乐正当时；无论东西，这便是「好东西」。#电影好东西爆梗制造机##电影好东西#,陕西
“只要不被绑架，就能相对自由。”#电影好东西的微博答案之书#📖翻开【电影好东西的微博答案之书】，你的答案近在眼前。无论何时，快乐正当时；无论东西，这便是「好东西」。#电影好东西爆梗制造机##电影好东西#,湖北
#电影好东西#太他妈好看啦！,河北
别因为#电影好东西#去买上野千鹤子的《上等快乐》实体书，这本内容一般。,
“过无需定义的人生，做独一无二的自己。”#电影好东西的微博答案之书#📖翻开【电影好东西的微博答案之书】，你的答案近在眼前。无论何时，快乐正当时；无论东西，这便是「好东西」。#电影好东西爆梗制造机##电影好东西#,云南
“爱人先爱己，要自由，也要开心。”#电影好东西的微博答案之书#📖翻开【电影好东西的微博答案之书】，你的答案近在眼前。无论何时，快乐正当时；无论东西，这便是「好东西」。#电影好东西爆梗制造机##电影好东西#,福建
#电影好东西爆梗制造机#电影好东西堪称爆梗制造机！它就像一座创意无限的宝藏，每一部影片都能挖掘出超多令人捧腹或深思的梗。这些梗像星星般在网络社交的天空中闪烁，让我们在分享与讨论中拉近彼此距离，为平淡生活增添无数欢乐与话题。快来一起感受这独特的梗文化魅力，沉浸在电影好东西带来的奇妙世界吧！#电影好东西##爆梗制造机#,河北
“爱人先爱己，要自由，也要开心。”#电影好东西的微博答案之书#📖翻开【电影好东西的微博答案之书】，你的答案近在眼前。无论何时，快乐正当时；无论东西，这便是「好东西」。#电影好东西爆梗制造机##电影好东西#,陕西
“只要不被绑架，就能相对自由。”#电影好东西的微博答案之书#📖翻开【电影好东西的微博答案之书】，你的答案近在眼前。无论何时，快乐正当时；无论东西，这便是「好东西」。#电影好东西爆梗制造机##电影好东西#,陕西
#电影好东西#慕名而来,重庆
“你会变得更加不错！”#电影好东西的微博答案之书#📖翻开【电影好东西的微博答案之书】，你的答案近在眼前。无论何时，快乐正当时；无论东西，这便是「好东西」。#电影好东西爆梗制造机##电影好东西#,福建
“过无需定义的人生，做独一无二的自己。”#电影好东西的微博答案之书#📖翻开【电影好东西的微博答案之书】，你的答案近在眼前。无论何时，快乐正当时；无论东西，这便是「好东西」。#电影好东西爆梗制造机##电影好东西#,云南
“过无需定义的人生，做独一无二的自己。”#电影好东西的微博答案之书#📖翻开【电影好东西的微博答案之书】，你的答案近在眼前。无论何时，快乐正当时；无论东西，这便是「好东西」。#电影好东西爆梗制造机##电影好东西#,青海
“爱人先爱己，要自由，也要开心。”#电影好东西的微博答案之书#📖翻开【电影好东西的微博答案之书】，你的答案近在眼前。无论何时，快乐正当时；无论东西，这便是「好东西」。#电影好东西爆梗制造机##电影好东西#,山西
让你高兴的东西就是好东西！工作日狂奔赴约的精神按摩💆🏻‍♀️爱导儿#电影好东西#@邵艺辉@随机波动StochasticVolatility,北京
#电影推荐##电影好东西#今天去看了电影《好东西》，真的很不错，推荐大家去看，整体内容轻松诙谐，却又不失力量，希望我们都能做个小孩儿,吉林
我们女宝特别好女宝们在一起特别好很期待王茉莉长大的样子辨音那段我哭#电影好东西#,广东
“我的一生很长，有很多幻想，没必要现在就定下来最喜欢的事儿。”#电影好东西#,湖北
#电影好东西#满怀期待的看了真的值得二刷平静真诚有力量的叙事小孩儿真的是最美好的存在“正是因为我们足够乐观和自信，才可以直面悲剧。”“总要有人对你说一下对不起。”女性值得所有美好的一切搞砸了又怎样换一个游戏重新制定规则吧我正直乐观有阅读量就热烈炙热真诚毫无保留的生活吧,天津
#电影好东西##电影评分##生活手记#电影评分是主观个人感受不具备参考性我很少给电影打低分虽然花钱了但我觉得还是要尊重别人的成果能看的都是好作品观影建议是因为看完电影后听见两个女孩子说话我才想到的一个女孩子说后半段我眼泪就止不住另一个女孩子说啊～～？！（谁懂那个语气）导致第一个女孩子就赶紧解释说也不是我也不知道为什么就还好我不理解你可以不共情不安慰但是你不能像男的一样用质疑证明自己吧所以我就觉得有思考能力或共情能力都是一件很酷的事情你不能因为自己没有就不尊重别人的感受当然我对电影也没什么思考我也蠢看完了我只认识到一点反复爱上宋佳是我的宿命想象宋佳那样骂我都能笑出来章宇也很帅赵又廷也很帅没有性别歧视,江苏
#电影好东西#好东西！,山东
#电影好东西#还得是女导演,山东
#电影好东西#强推,北京
延迟叙事过生日🎂🎉在一个漂亮的晴天看了一部期待轻盈又舒畅的电影在射手座的第一天体会到了久违的自由勇敢和快乐让人不禁对未来充满期待的就是好东西#电影好东西##生日快乐#,湖北
#电影好东西#确实是好东西，我喜欢！,新疆
#电影好东西#嗯，好看着呢。【f小姐】还在节食减肥呢，此刻，好饿好想吃东西呀,湖北
是好东西！爱上宋佳了演的太好了！#电影好东西#,广东
章宇太颓了脏脏的“鼓手”脱掉衣服应该有新鲜的像芦荟汁肉一样的身体，扑面而来的“ohyouth”气息，不强烈的健壮或者青春肉体，有被泼水也要脱掉衣服展示的必要嘛不用好看，起码要跟钟一样有脆弱缺爱的天真，他没有，不喜欢这个选角w很喜欢这部电影#电影好东西#,北京
正是因为我们足够乐观自信才可以直面悲剧#电影好东西#好看推荐!!!,广东
