comment,province
#电影好东西#我也是一个正直勇敢有阅读量的好小孩儿,浙江
好东西真的是好东西#电影好东西#,陕西
所有人都要去看好东西！！！！！#电影好东西#,
简约情人《蜜湖》——3月2日，北京#电影好东西#插曲#蜜湖#在影院听到了很惊喜@简约情人与石小飞,河南
能让你开心的才是好东西可惜现在已经没有什么东西能让我开心了#电影好东西#,广东
我愿称为年度最佳。#电影好东西#,湖北
美食超话美食超话以后鱼头买回家你就像我这样做，真的巨巨巨入味下饭的#电影好东西#L美食翁的微博视频美食翁的微博视频,
电影好东西超话一个异性恋的女性，除了欲望和生育，还需要男人吗？电影《好东西》给了我们新的可能。新型家庭组合，新型两性关系，新型女性友谊。两个女人，一个小孩，她们无关爱情，只是同频共振，互相依靠的朋友、家人、伴侣。过去，爱情是最小的共产主义单位。现在，三个女人是最小的共产主义单位。并不是我们不再需要爱情，只是爱情不会占据我们太多的时间。它是零食，是课间十分钟，是生活的调味剂。女性之间的情谊总是美好的，我们不是曾经荧幕上互相撕扯攀比的关系，那些诋毁女性的早就应该消失在文艺作品里。我们也看到过正面的真实的女性友谊。《乱世佳人》中的斯嘉丽和梅兰，《我的天才女友》中的两位主角。她们互相扶持，共同成长。引用“王铁梅”女士的话：女生会彼此欣赏，女生会更懂得珍惜女生，女生之间会相互鼓励和珍爱。我正在经历着三个女孩一起的生活，是平等的自由的温暖的。（当然偶尔也会约个男人，毕竟男人还是很好玩的！）#电影好东西#@邵艺辉,北京
-女孩打鼓什么样？-你怎么打，女孩就什么样。这是#电影好东西#最吸引我的一句台词。,北京
太好哭了，现实中的王铁梅被人们铭记着，王茉莉继承了妈妈的血脉与勇敢😭😭😭#电影好东西#L有娱说娱的微博视频,福建
美食超话以后鱼头买回家你就像我这样做，真的巨巨巨入味下饭的#电影好东西#L美食翁的微博视频,江苏
“去玩去感受，去尽兴地享受人生！”#电影好东西的微博答案之书#📖翻开【电影好东西的微博答案之书】，你的答案近在眼前。无论何时，快乐正当时；无论东西，这便是「好东西」。#电影好东西爆梗制造机##电影好东西#,浙江
"#电影好东西#为什么觉得好东西好看呢，因为我感觉找到了自己坚强生活的共鸣，女人凭什么要被婚姻裹挟呢，需要婚姻的从始至终是男人，女人可以变成""强""女人，我可以选择有恋爱脑，但我也可以选择不进入一段关系，我可以允许自己不那么好，也可以允许自己不说对不起。这部电影也并没有贬低男性，只是映射真实的世界，会有渣男且很多，会有弱者且胆小，会有善良且美好的人，大家都可爱的展现真实的生活的样貌，有不堪有窘迫有无奈有很多至暗时刻，但也有快乐平凡美好治愈，我现在很多东西很多事情都学会了一笑而过，爱生活爱琐碎爱家人爱朋友爱自己，当然我可以爱男人爱婚姻，但这是""我""忠于自我幸福的选择，如果害怕受伤，那我便一个人好好生活爱自己，继续做""强女孩""。",上海
#电影好东西#太好看了,广东
#电影好东西#周末耶,广东
不着急成为一个合格的大人，做个小孩儿，去做小孩儿#电影好东西#,山西
好东西我的评分：#电影好东西#电影诙谐幽默小孩不易母亲不易单亲母亲更不易印象深刻场景：1.小孩听声猜实际全是妈妈家务的声音2.小叶第一次来m把沙发弄脏被妈妈骂开始吃药不让自己来m3.胡医生4.“你的眼睛很大很美，你想怎么看我都行。”5.扮成拉拉和胡医生谈6.“气氛不会被礼貌破坏，只会被不礼貌破坏。‘’7.我正直勇敢有阅读量。”8.如果他能让你开心，那就是好东西。9.总要有人和你说对不起10.我都跟父权决裂了，我还能是loser11•交女朋友以前，我一直以为月经是蓝色的12.脱毛衣露肌肉13.摸头安慰14.下次不要不礼貌，得给年轻人机会，,福建
#电影好东西#，你我皆需好东西,安徽
#电影好东西#真的很好看很好看，观影体验特别舒适，有笑点有泪点，故事线也很清晰，演员们演技都特别自然。里面所有角色里我最喜欢小孩，在妈妈有意识的保护下没有被父权规训的特别聪慧的天然小女孩。最喜欢的片段是用自然的声音描述铁梅做家务的那一段…邵导简直太天才了！我们那场观影氛围还蛮和谐的，不管女的男的都看得很开心，一些很搞笑的点大家都会一起笑出声来，内容已经很温和很女男皆宜了，只要你不是脑子里塞了吊，都能get到。,上海
昨天下午和老妈一起观看了《好东西》，心情激荡，思绪翻涌。2021年看完《爱情神话》后，我忍不住地叹息：下次再看到这么妙的影片、拥有这么轻松愉悦的观影体验将会是何时呢？万万没想到！只过了不到三年，竟然又诞生了这么一部精巧的、细腻的、真诚的、温暖的、小而美且充满灵性的佳作——《好东西》！两部电影系出一脉，却是“花开两朵，各表一枝”。在我看来，后者可以说是前者的“进阶版”。《爱情神话》观后，恍惚是在某个春风沉醉的晚上，听着CityPop啜饮小甜酒，远远欣赏都市街灯下红男绿女来来去去。看完《好东西》，我的大脑和心灵仿佛在一个恰如昨日般晴好的冬日里，手挽手跳进温泉池子泡了个澡，洗去了一身碎屑、尘土和有毒物质，然后水灵灵、轻盈盈地跃出，转圈，舞动，双双往草坪上一撂，啊，晒太阳～爱日温温，可祛愁雾。《好东西》给予我的，就是温煦又明亮的“冬日阳光”！或许正是因为《好东西》所展现的那个世界更加清爽、广阔且温情脉脉，有着更多美好入心的存在，让人心生向往，乃至由此生发出力量要去投身，去成为，去创造。当我近乎飘飘然地走出影厅，心情是久违的柔和愉悦，步履轻快。同时又感到体内充盈着一股能量，让我感到自己能够冲破停滞悬浮的状态，有勇气去面对，脚踏实地去做些什么。“如果能让你开心，那就是好东西。”《好东西》是真正的好东西！它不仅让我开心，还让我想成为并相信自己能够成为一个符合自己期望的“好东西”！我想看更多关于“铁梅”、“茉莉”和“小叶”的生活日常。我感谢并祝愿编剧&导演邵艺辉女士创作之路宽又阔越走越顺越来越好，继续发散出更多光和热。我希望我们能够听到、讲述和攥写更多、更丰富的HerStory！#电影好东西#,四川
《好东西》好看！#电影好东西#,上海
#电影好东西#妈耶，今年看的最好看的一部电影，两个小时毫无槽点，这才是真正地女性视角出发。,吉林
几乎不看朋友圈，发动态也不算太频繁，但是这半个月发了疯的发《好东西》。没办法，朋友圈的朋友们反正我不烦！#电影好东西#@邵艺辉,北京
好东西可以说是今年我的最佳电影了。#电影好东西#,山东
这个世界的game规则究竟是谁来决定的？是你自己！不要物化男女！不要认为女人很行很应该！更不要觉得男人不行不应该！男女从来不是对立面！世界命运共同体哈哈哈哈哈！#电影好东西#,内蒙古
去看了《好东西》女性叙事的电影我基本每一部都会去电影院观影，从一个不成熟的电影观众的视角，多少能感觉到这些电影的不同和进步。从《消失的她》这种几乎完全是博眼球吃话题红利（对不起，拉踩一下）的电影，到后来去展现悲惨的往事和觉醒的女性，到这一部几乎完全没有悲惨叙事（不是说悲惨叙事不好），并与当下已经充斥着女性主义讨论（在一些群体里，不是说全社会）的现状接轨，整部影片平淡而细腻（不喜欢大起大落的，心脏受不了），最后的结局也没有非常落俗（不喜欢那种主角最后就一定要胜利的合家欢电影）上一段话打了八百个括号，但总之这部电影是少有的让我感觉沉浸其中不希望它结束的对我来说有点“乌托邦”式的感觉。之前很多人对《哈尔的移动城堡》有这种评价，当时完全没感觉到。#电影好东西#,山东
#电影好东西#本年度最喜欢的电影能让你开心的，都是好东西。,甘肃
原来我忘记的东西，女儿都会牢记在心！#电影好东西#L戍衢小将的微博视频,浙江
庆祝#电影好东西#票房超过#电影爱情神话#老师决定送照片一组周末愉快#好东西语文老师#卫莱超话,上海
好东西我的评分：#电影好东西#周五，本周工作任务基本完成，孩子的学习也不好不坏地平稳度过，奖励自己一场工作日中午场的电影。看看笑笑，笑笑哭哭，很能共情。很喜欢王茉莉这个角色，借小朋友的话治愈着所有的大人。,江苏
好东西我的评分：不严肃说教~虽说是女权题材的电影，但没有像平日那样为女性的苦难呐喊，对男性的调侃是由男角色完成的，它只刻画了女性自身力量，女孩子间的相互治愈。然后演员亮眼、情节搞笑、音乐动听、画面优美，故事传递的是快乐和积极，节奏也飞快不拖沓，乐呵呵就看完了#电影好东西#,广东
2021年《爱情神话》票房定格2.6亿，三年过去，平行篇《好东西》和新老朋友们相见。现在的“我”和过去的“你”在此刻重合，共同期待未来！感谢每一位支持与喜爱小好的观众，祝大家都能成为更好的自己！“我现在是最好的状态！”“我正直勇敢有阅读量！”#电影好东西#正在热映中，整点新东西，说点新话题！,河北
真的好久没看到敲到心坎里的电影了！第一次有想立马再二刷的电影🎬真的好喜欢里面输出的观点和拍的景，每一刻每一帧都不想错过，轻快自由放松却有很多很多的意义做个小孩儿！做个快乐有思想多样性的小孩儿！是啊，一生还长，还能幻想感受到宋佳演技的质感，很美很赞愿我们的人生可以遇到好东西，即使没有，我们的（“正直勇敢有阅读量”台词），也能够直面人生中的everything。#电影好东西##宋佳说演好东西是全新挑战#,天津
如果能让我开心那就是好东西我拥有些什么我只是社会的魂魄#电影好东西#,辽宁
这几年少有的好电影又哭又笑的#电影好东西#,辽宁
#电影好东西#小孩和小叶都和铁梅说过不要什么事都找老师，铁梅还吐槽小孩一点也没遗传她的性格。但是小孩在学校遇到举报、霸凌（未遂）和决定不作观众告诉老师的时候都非常淡定，而且勇敢有底气，这都是妈妈无条件给小孩撑腰，一直站在她身边的正向反馈。让小孩参与吵架这个桥段也很好，大家有不爽就都表现出来，吵完也很快解决了问题。这比背着孩子吵架生闷气但又演不好被敏感的孩子感觉出来胡思乱想好多了，家里的事孩子也有知情权。看到有评论说铁梅仿佛在给所有人当妈，但其实大家的关系已经是最大程度的平等了。,北京
发不了那就再发一遍单纯分享记录如果能让你开心那就是好东西追剧超话#电影好东西#,河南
✍🏻🎬·时间还长，我们可以慢慢找到和看见自我。不一定要现在。一生很长，我们还有很多幻想。尽管偶尔暂停幻想。#吮尽生活的骨髓#手帐超话#电影好东西#,浙江
