comment,province
好东西真的特别特别特别好！喜欢小孩儿听声音猜物那块，太妙了、喜欢铁梅，喜欢小叶，喜欢小孩儿，喜欢她们三一直在一起喜欢正直善良有阅读量，喜欢好东西。让你高兴的东西就是好东西#电影好东西#,北京
今天看了一部很有趣的电影，很值得琢磨，连带着周一上班综合症都淡了些#电影好东西#粥底火锅，我的真爱，上辈子一定是广东人,四川
看了《好东西》，我要打9.999分，真的太爱这一部电影了，超级超级好看，通过几个鲜活的、有血有肉的女性形象表达了很多先进思想，观点的传播自然又恰当，结构设计也十分精妙，剧情很顺畅，又很温柔，影片中有几次拥抱，每一次我都哭了，因为感觉银幕前的我也被用力地抱了一下。特别开心能有这么好的电影出现，走到今天，我们都辛苦了钞票就是选票，我会再看很多次，一起继续前进吧#电影好东西#,上海
#电影好东西#这样的好东西能不能出第二部，太好看了！！！！王茉莉一定是个T人，思考力很强,广东
#电影好东西#值得二刷喜欢钟姐的livehouse片段喜欢与家务对应的猜声音情节设计喜欢小孩对小叶说“你的眼睛又美又亮我喜欢你看着我看多久都没关系”喜欢影片中女性间的拥抱勇敢有爱有力量,浙江
你有因为电影好东西最后一句这是你以前写的泪奔吗#电影好东西#,辽宁
#电影好东西#L国货美出圈的微博视频,北京
#电影好东西#,湖南
#电影好东西#就像一阵温暖又清新的风，轻轻拂过心头，只要你看了，就能收获满满的开心，这不就是名副其实的“好东西”嘛！#好好生活好好爱#好好生活吧……希望生活对我越来越好……,山东
#电影好东西#好东西，是我今年看的最舒服的一部电影。电影里，小叶是个恋爱脑，讨好型人格，明明是铁梅和茉莉吵架，她只是劝架而已，就茉莉言语刺激后，明明不是她的问题，但她却陷入应激反应里立马道歉，认为错全在自己。我以为这个时候她一定会被安慰，或者被说教一番告诉她不用这样，你没错。但是电影里茉莉和她道歉后就结束了吵架。小叶问铁梅自己是不是恋爱脑，铁梅告诉小叶，你只是缺爱，缺爱的人首先是要找到自爱的办法，而不是试图在其他人身上找到自己被爱的证据。并没有去批判什么，也没有要求她去改变什么。铁梅在被网暴的时候认为自己不是个好妈妈，做什么都不行，小叶告诉她为什么不可以搞砸事情，好与不好的裁判是谁？我们可以不玩他们的游戏。茉莉学会了打鼓却在上台表演前胆怯了，按照传统拍法应该是大家一番鼓励然后劝她上台，可是小叶没有，小叶提议她不用上台，可以晚一点在面对。对啊，谁规定我们一定要被爱，谁规定我们不可以把事情搞砸，谁规定我们一定要“上台”，难道就不可以快乐的当个观众吗？我们为什么只能当被凝视者？明明我们个可以坐主桌，明明我们也可以凝视回去，明明我们也可以不玩他们的游戏。就像电影里录声音那段一样，无论怎么磕头都是错的，只有回击的那个声音才对。最后希望大家都能不再内耗，停止自我批评，停止自我怀疑，活成自己，永远自由。,安徽
小孩儿往前走是迷茫往后看是痛苦我们没有一刻能比现在更幸福#电影好东西#,山东
女鼓手也可以很帅，坚持是对热爱最好的诠释！#练鼓日记##架子鼓##电影好东西#L蓝色繁星豆沙包的微博视频,安徽
意外收获两首超级喜欢的歌曲喜欢就会觉得好像以前就听过了！有好听的歌就幸福#电影好东西#,北京
《好东西》算是个好东西，小孩姐的演技真棒，钟楚曦好美。全剧最难忘的一句：总要有人跟你说一声对不起……愿我们归来仍是少年，勇敢不自卑。#电影好东西#,江苏
好东西我的评分：#电影好东西#能让人开心的东西，就是好东西,天津
好东西我的评分：#电影好东西#台词/意向很多欧洲影视剧的即视感，尤其是餐桌上那一趴，很生活化的叙事和节奏，交叉剪辑特别妙，bgm也好听👍,山西
看好东西哭超多次……就那种眼泪流到嘴里www感觉最近泪点特别低a真的好好看女性题材下看到了很多小时候包括现在自己的缩影…..出来很冷✂️✊布看吃不吃东西最后吃了🍜🚬🍺第一次发现烧酒➕啤酒能这么好喝#电影好东西#,江苏
#电影好东西#太好看了！,内蒙古
好东西真的是个好东西#电影好东西#,天津
#电影好东西#你很好，也不好，这样不好的你很好,黑龙江
好看很对但没必要#电影好东西#,浙江
最喜欢采音那一段的隐喻，磕头的声音怎么样都是不对的，用力回击才是对的#电影好东西#,江西
#电影好东西##钟楚曦##宋佳#真的是视觉盛宴，寰宇国际影城的观影体验太棒了。L每日好片推荐的微博视频,北京
好东西我的评分：#电影好东西#值得看大于1次的好作品！,广东
最喜欢采音那一段的隐喻，磕头的声音怎么样都是不对的，用力回击才是对的#电影好东西#,上海
“希望每个女孩都能找回本属于自己的勇敢和力量”#电影好东西#,内蒙古
好东西我的评分：#电影好东西#在感觉很down的一天拯救了我～很有灵气的电影！流畅有趣惬意舒适宋佳也太有气质了吧,河北
#电影好东西#终于有空来看这部最近超火的电影，拍的太好了，以非常真实日常温暖有爱又幽默的方式，娓娓道出很多的人生哲理，细细拆可以拆出很多很多的点，感恩台前幕后团队呈现好作品,浙江
#电影好东西爆梗制造机##电影好东西#,湖南
友情和爱情，哪个排在前面呢？#电影好东西#L戍衢小将的微博视频,浙江
#电影好东西#《好东西》的后劲儿有多足！当好朋友安利了共同好友去看《好东西》时，我代入了小叶求夸夸——结果她也代入了小叶！！“我不能再夸你了，你全家我都不能再夸了，你可别再好了，搞砸了又能怎么样呢？”好好好，不夸就不夸，我是铁梅@灯海影,山东
看完好东西后高强度冲浪几天翻看各种影评和细节贴，越看越觉得好幸福，好像童年买到了自己最喜欢的小说一样，躲在被窝里偷偷的感受快乐[锦鲤附体]，我们应当去劳动、去生产、不依赖、不讨好。#电影好东西#,浙江
#电影好东西爆梗制造机##电影好东西爆梗制造机#电影《好东西》将于11月22日上映，影片热梗频出，引发了无数网友讨论。你是否发现了影片中的惊喜彩蛋和犀利金句？@电影好东西联合@微博电影@微博校园@微博幽默发起“造梗大赛”。更有小好和导演@邵艺辉以及四所高校@大连理工大学@江南大学@宁波大学@西北政法大学化身“微博鉴梗官”，等你参与！戳下图解锁详情👇，除了有机会获得周边福利外，还有可能收到小好或导演的翻牌回复哦！#电影好东西#,云南
#电影好东西#非常好看,广东
一首歌概括#电影好东西#给我的印象。#爱痕森林#,北京
#电影好东西#正是因为我们足够乐观和自信，才能够直面悲剧。豆瓣9.1分，2024年国产剧情片第一！电影《好东西》正在热映中！整点新东西，说点新话题！L电影好东西的微博视频,河北
这转身，一个多余的动作都没有！#电影好东西#L戍衢小将的微博视频,浙江
没有想象中那么好，但也是很不错的电影#电影好东西#,广东
#电影好东西##影评#好几个朋友推荐，看了一下。总的来说，从女性主义角度出发，对于电影中女性角色形象刻画过于单薄，男性角色过于丑化。我的想法是，男权和女权谈不上多少对立，更多的是对父权，这一点得搞清楚。,湖南
