ip,score,样本总数
上海,57.0,86.0
中国香港,1.0,1.0
云南,26.5,33.0
内蒙古,14.0,20.0
北京,158.5,239.0
吉林,21.0,32.0
四川,50.5,85.0
天津,24.0,35.0
宁夏,9.0,11.0
安徽,41.0,62.0
山东,88.0,114.0
山西,39.0,49.0
广东,131.0,190.0
广西,16.0,19.0
意大利,1.0,1.0
新疆,16.0,20.0
江苏,80.0,120.0
江西,20.0,28.0
河北,33.0,54.0
河南,49.0,73.0
浙江,55.5,80.0
海南,13.0,18.0
湖北,50.5,67.0
湖南,36.5,55.0
甘肃,9.0,20.0
福建,28.0,40.0
英国,0.0,2.0
,1.0,1.0
贵州,17.5,23.0
辽宁,52.0,66.0
重庆,18.0,28.0
陕西,50.0,74.0
青海,5.0,6.0
马来西亚,1.0,1.0
黑龙江,10.5,20.0
,25.0,40.0
