ip,score,样本总数
上海,45.0,62.0
云南,16.5,24.0
内蒙古,15.0,26.0
北京,87.0,137.0
吉林,24.0,40.0
四川,41.0,64.0
天津,20.0,26.0
宁夏,10.0,13.0
安徽,31.0,38.0
山东,75.0,94.0
山西,29.0,41.0
广东,110.5,146.0
广西,13.0,16.0
新加坡,1.0,1.0
新疆,17.0,20.0
江苏,73.0,98.0
江西,16.0,22.0
河北,34.0,46.0
河南,41.0,62.0
浙江,48.5,71.0
海南,12.0,17.0
湖北,49.0,61.0
湖南,33.0,48.0
澳大利亚,1.0,1.0
甘肃,11.0,18.0
福建,34.0,35.0
英国,0.0,3.0
,1.0,1.0
贵州,13.5,19.0
辽宁,40.0,53.0
重庆,17.5,22.0
陕西,32.0,45.0
,5.0,5.0
黑龙江,10.5,16.0
,5.0,11.0
