ip,score,样本总数
上海,118.0,234.0
中国台湾,0.0,1.0
中国澳门,3.0,4.0
云南,26.0,39.0
内蒙古,24.0,40.0
北京,210.5,417.0
吉林,26.0,46.0
四川,69.5,148.0
天津,38.0,73.0
宁夏,12.0,16.0
安徽,65.0,105.0
山东,121.0,212.0
山西,54.0,88.0
广东,215.0,361.0
广西,22.0,40.0
新疆,25.0,33.0
江苏,125.0,236.0
江西,35.0,53.0
河北,59.0,109.0
河南,84.0,133.0
法国,0.0,1.0
浙江,121.5,244.0
海南,17.0,24.0
湖北,95.5,163.0
湖南,66.5,127.0
甘肃,24.0,40.0
福建,46.0,77.0
美国,0.0,1.0
英国,2.0,2.0
西藏,2.0,3.0
贵州,22.5,36.0
辽宁,68.0,113.0
重庆,27.5,48.0
陕西,67.0,120.0
青海,6.0,7.0
马来西亚,0.0,1.0
黑龙江,23.0,47.0
,17.0,26.0
