ip,score,样本总数
上海,49.0,101.0
中国香港,0.0,2.0
云南,16.0,24.0
内蒙古,24.0,30.0
北京,130.0,217.0
吉林,12.0,20.0
四川,45.0,88.0
天津,30.0,45.0
宁夏,8.0,10.0
安徽,33.0,57.0
山东,84.0,115.0
山西,35.0,47.0
广东,150.0,222.0
广西,12.0,19.0
新疆,10.0,13.0
日本,0.0,3.0
江苏,87.0,136.0
江西,27.0,36.0
河北,29.0,50.0
河南,61.0,90.0
浙江,66.0,115.0
海南,23.0,26.0
湖北,55.0,85.0
湖南,39.0,64.0
澳大利亚,0.0,1.0
瑞典,0.0,1.0
甘肃,11.0,22.0
福建,26.0,50.0
英国,0.0,2.0
,2.0,2.0
贵州,17.5,28.0
辽宁,40.0,60.0
重庆,16.5,29.0
陕西,46.0,65.0
青海,6.0,7.0
马来西亚,1.0,1.0
黑龙江,5.5,18.0
,10.0,16.0
