date,box_office,reviews,good_reviews
2024-11-22,2544.72,1813,1248.0
2024-11-23,5068.27,3468,1937.5
2024-11-24,4844.56,2885,1624.0
2024-11-25,2287.35,1789,1156.0
2024-11-26,2431.25,1917,1206.5
2024-11-27,2374.24,1861,1244.5
2024-11-28,2186.87,1517,1038.0
2024-11-29,3312.16,1402,1012.0
2024-11-30,6111.08,1055,850.0
2024-12-01,4678.03,1668,980.0
