date,box_office,reviews,good_reviews
2024-12-07,3039.14,2596,902.5
2024-12-08,1953.44,1621,591.5
2024-12-09,756.3,719,380.5
2024-12-10,584.52,556,354.5
2024-12-11,482.56,417,286.5
2024-12-12,438.54,404,275
2024-12-13,604.61,330,237.5
2024-12-14,718.97,409,283.5
2024-12-15,621.69,523,276
