ip,score,样本总数
上海,66.0,91.0
中国台湾,0.0,2.0
中国香港,0.0,1.0
云南,7.0,22.0
内蒙古,3.0,9.0
北京,102.5,256.0
吉林,4.0,14.0
四川,24.0,60.0
天津,3.0,17.0
宁夏,1.0,6.0
安徽,11.0,31.0
山东,27.0,113.0
山西,10.0,26.0
广东,72.0,226.0
广西,11.0,32.0
新疆,2.0,3.0
,9.0,9.0
江苏,38.0,89.0
江西,10.0,33.0
河北,28.0,71.0
河南,18.0,66.0
浙江,26.5,85.0
海南,3.0,15.0
湖北,15.0,47.0
湖南,19.0,46.0
甘肃,4.0,12.0
福建,22.0,65.0
美国,0.0,1.0
英国,0.0,1.0
西藏,0.0,1.0
贵州,6.0,16.0
辽宁,11.5,37.0
重庆,12.0,32.0
陕西,15.0,37.0
青海,1.0,3.0
黑龙江,4.0,22.0
,6.0,24.0
