ip,score,样本总数
上海,12.0,14.0
云南,6.0,8.0
内蒙古,3.0,3.0
北京,23.5,48.0
,1.0,1.0
四川,20.0,26.0
天津,3.0,4.0
安徽,6.0,10.0
山东,12.0,16.0
山西,9.0,13.0
广东,32.5,50.0
广西,8.0,11.0
新疆,0.0,1.0
,9.0,9.0
江苏,14.0,22.0
江西,13.0,22.0
河北,12.0,18.0
河南,20.0,27.0
浙江,10.0,14.0
海南,5.0,7.0
湖北,8.0,10.0
湖南,7.0,13.0
甘肃,2.5,4.0
福建,6.0,8.0
贵州,8.0,9.0
辽宁,6.0,9.0
重庆,16.0,17.0
陕西,11.0,17.0
黑龙江,0.0,1.0
,3.0,5.0
