ip,score,样本总数
上海,18.0,28.0
中国台湾,0.0,2.0
云南,5.0,6.0
内蒙古,2.0,2.0
北京,34.0,70.0
吉林,1.0,2.0
四川,15.0,20.0
天津,1.0,2.0
宁夏,2.0,4.0
安徽,9.0,13.0
山东,22.0,32.0
山西,6.0,11.0
广东,41.0,72.0
广西,11.0,17.0
,1.0,1.0
,11.0,11.0
江苏,18.0,21.0
江西,12.0,21.0
河北,11.0,20.0
河南,30.0,37.0
浙江,20.0,35.0
海南,2.5,4.0
湖北,10.0,20.0
湖南,16.0,24.0
甘肃,3.0,3.0
福建,9.0,16.0
西藏,1.0,5.0
贵州,7.0,7.0
辽宁,6.0,7.0
重庆,14.0,21.0
陕西,7.0,8.0
马来西亚,1.0,2.0
黑龙江,5.0,7.0
,3.0,5.0
