ip,score,样本总数
上海,6.0,9.0
云南,15.0,15.0
内蒙古,0.0,2.0
北京,10.0,27.0
吉林,4.0,5.0
四川,11.0,13.0
天津,0.0,1.0
宁夏,0.0,2.0
安徽,11.0,13.0
山东,10.0,15.0
山西,1.0,3.0
广东,32.0,40.0
广西,6.0,8.0
,1.0,1.0
,10.0,10.0
江苏,12.5,17.0
江西,14.0,14.0
河北,10.0,12.0
河南,22.0,30.0
浙江,18.0,29.0
海南,2.0,4.0
湖北,3.0,7.0
湖南,9.0,10.0
甘肃,0.0,3.0
福建,8.0,10.0
西藏,1.0,2.0
,2.0,2.0
辽宁,8.0,8.0
重庆,6.0,9.0
陕西,4.0,6.0
,1.0,2.0
,0.0,1.0
